domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp
abakan.aviastal.ru,Абакан,,,8 (391) 271-75-19,3912717519;9620583176,abakan@aviastal.ru,"ул. Щетинкина, 24",Россия,,89620583176.0
aktau.aviastal.kz,Актау,,,+7 700 6971612,7006971612,aktau@aviastal.kz,"26-й микрорайон, 58",Казахстан,,700-770-49-63 (Ватсап)+тг
akto.aviastal.kz,Актобе,,,8(713)273-60-11,7132736011,aktobe@aviastal.kz,"проспект Санкибай Батыра, 4К",Казахстан,,700-770-49-63 (Ватсап)+тг
almaty.aviastal.kz,Алматы,,,8(727) 317-28-36,7273172836,almaty@aviastal.kz,"ул. Ю. Ратушного, 70",Казахстан,,700-770-49-63 (Ватсап)+тг
almetevsk.aviastal.ru,Альметьевск,,,8 (347) 299-66-54,3472996654;9625563974,almetevsk@aviastal.ru,"ул. Чехова, 33",Россия,,79625563974.0
angarsk.aviastal.ru,Ангарск,,,8 (3952) 57-93-87,9620583176,angarsk@aviastal.ru,"14-й квартал, 1",Россия,,89620583176.0
andizhan.viastal.uz,Андижан,,,,,andizhan.viastal.uz,пока не делаем,Узбекистан,,
aragacotn.aviastal.am,Арагацотн,,,,,aragacotn@aviastal.am,пока не делаем,Армения,,
ararat.aviastal.am,Арарат,,,,,ararat@aviastal.am,пока не делаем,Армения,,
arzamas.aviastal.ru,Арзамас,,,8 (831) 414-40-86,8314144086;9625563974,arzamas@aviastal.ru,"просп. Ленина, 208",Россия,,89625563974.0
armavir.aviastal.am,Армавир,,,,,armavir@aviastal.am,пока не делаем,Армения,,
armavir.aviastal.ru,Армавир,,,8 (861) 944-64-68,8619446468;9034116468,armavir@aviastal.ru,"ул. Карла Либкнехта, 59",Россия,,89034116468.0
artem.aviastal.ru,Артём,,,8 (4212) 60-19-28,9620583176,artem@aviastal.ru,"ул. Кирова, 39А",Россия,,89620583176.0
arhangelsk.aviastal.ru,Архангельск,,,8 (812) 986-43-38,8129864338;9626864338,arhangelsk@aviastal.ru,"​Попова, 14",Россия,,89626864338.0
aviastal.kz,Астана/Нур-Султан,,,8 (7172) 62-99-80,,nur-sultan@aviastal.kz,"улица Амангельды Иманова, 19",Казахстан,,700-770-49-63 (Ватсап)+тг
astrahan.aviastal.ru,Астрахань,,,"8 (8512) 69-00-13
(стар. 8 (844) 260-99-52)",8442609952;9034116468,astrahan@aviastal.ru,"Тургенева, 10​",Россия,,89034116468.0
atyrau.aviastal.kz,Атырау,,,8(712)275-39-02,7122753902,atyrau@aviastal.kz,"Загородная улица, 1",Казахстан,,700-770-49-63 (Ватсап)+тг
aviastal.az,Баку,,,+994-12-3110128,,info@aviastal.az,"ул. Башира Сафаоглу 123, офис 401",Азербайджан,,994-50-429-57-79 (ватсап+тг)
balakovo.aviastal.ru,Балаково,,,8 (845) 253-11-49,8452531149;9625563974,balakovo@aviastal.ru,"Трнавская ул., 14",Россия,,79625563974.0
balashiha.aviastal.ru,Балашиха,,,8 (495) 755-36-18,4957553618;9037553618,balashiha@aviastal.ru,"Разинское ш., 69, микрорайон Салтыковка",Россия,,79037553618.0
balykchi.aviastal.kg,Балыкчи,,,,,Balykchi@aviastal.kg,пока не делаем,Киргизия,,
barnaul.aviastal.ru,Барнаул,,,8(385)225-26-58,3852252658,barnaul@aviastal.ru,"г. Барнаул,  ул. Пушкина, 29 (2 этаж, каб. № 19)",Россия,,962-058-31-76  (Ватсап)+тг
bataysk.aviastal.ru,Батайск,,,8 (863) 206-68-85,8632066885;9034116468,bataysk@aviastal.ru,"ул. Крупской, 86/169",Россия,,89034116468.0
belgorod.aviastal.ru,Белгород,,,8 (473) 251-41-03,4732514103;9033660443,belgorod@aviastal.ru,"ул. Губкина, 45А, Белгород",Россия,,89033660443.0
berdsk.aviastal.ru,Бердск,,,8 (383) 255-73-36,3832557336;9620583176,berdsk@aviastal.ru,"ул. Ленина, 94",Россия,,89620583176.0
berezniki.aviastal.ru,Березники,,,8 (342) 259-18-98,3422591898;9641901898,berezniki@aviastal.ru,"просп. Ленина, 47",Россия,,89641901898.0
bijsk.aviastal.ru,Бийск,,,8 (385) 225-26-58,3852252658;9620583176,bijsk@aviastal.ru,"ул. Владимира Ленина, 258",Россия,,89620583176.0
aviastal.kg,Бишкек,,,+996 223 96 76 88,,info@aviastal.kg,"ул. Юсупа Абдрахманова, 170/2 , 7 этаж, офис без номера",Киргизия,,996-223-96-76-88 (Ватсап)+тг
blagoveshchensk.aviastal.ru,Благовещенск,,,8 (4212) 60-19-28,9620583176,blagoveshchensk@aviastal.ru,"ул. Калинина, 103/1",Россия,,89620583176.0
bratsk.aviastal.ru,Братск,,,8 (3952) 57-93-87,9620583176,bratsk@aviastal.ru,"Южная улица, 20",Россия,,89620583176.0
brest.aviastal.by,Брест,,,375(44)503-88-86,445038886,brest@aviastal.by,Московская улица 208,Беларусь,,375(44)503-88-86 ва+тг
bryansk.aviastal.ru,Брянск,,,8 (487) 238-54-05,4872385405;9037553618,bryansk@aviastal.ru,"ул. Брянской Пролетарской Дивизии, 1",Россия,,79037553618.0
buhara.aviastal.uz,Бухара,,,,,buhara.aviastal.uz,пока не делаем,Узбекистан,,
velikiy-novgorod.aviastal.ru,Великий Новгород,,,8 (812) 986-43-38,8129864338;9626864338,velikiy-novgorod@aviastal.ru,"​Большая Санкт-Петербургская, 39 к1",Россия,,89626864338.0
vidnoe.aviastal.ru,Видное,,,"8 (903) 366-04-43
(стар. 8 (495) 755-36-18)",9033660443;4957553618;9037553618,vidnoe@aviastal.ru,"Белокаменное ш., 20",Россия,,79037553618.0
vitebsk.aviastal.by,Витебск,,,375(44)503-88-86,445038886,vitebsk@aviastal.by,"улица Ленина, 26А",Беларусь,,375(44)503-88-86 ва+тг
vladivostok.aviastal.ru,Владивосток,,,"8 (423) 254-00-59
(стар.8 (4212) 60-19-28)",4232540059;9620583176,vladivostok@aviastal.ru,"ул. Уборевича, 5А",Россия,,89620583176.0
vladikavkaz.aviastal.ru,Владикавказ,,,8 (861) 944-64-68,8619446468;9034116468,vladikavkaz@aviastal.ru,"ул. Цоколаева, 5",Россия,,89034116468.0
vladimir.aviastal.ru,Владимир,,,8 (495) 755-36-18,4957553618;9037553618,vladimir@aviastal.ru,"ул. Мира, 61А",Россия,,79037553618.0
volgograd.aviastal.ru,Волгоград,,,8 (844)260-99-52,8442609952,volgograd@aviastal.ru,"просп. Ленина, 100, каб 44",Россия,,903-411-64-68 (Ватсап)+тг
volgodonsk.aviastal.ru,Волгодонск,,,8 (863) 206-68-85,8632066885;9034116468,volgodonsk@aviastal.ru,"ул. Гагарина, д.24, стр.1",Россия,,89034116468.0
volzhskij.aviastal.ru,Волжский,,,8 (844) 260-99-52,8442609952;9034116468,volzhskij@aviastal.ru,"​Космонавтов, 16н",Россия,,89034116468.0
vologda.aviastal.ru,Вологда,,,8 (4852) 66-29-46,9033660443,vologda@aviastal.ru,"Советский просп., 37",Россия,,89033660443.0
voronezh.aviastal.ru,Воронеж,7 (473) 251-42-55/903-651-42-55,7 (473) 251-42-55/903-651-42-55,8(473)251-41-03,4732514103;4732514255,voronezh@aviastal.ru,"Московский просп., 145",Россия,,903-366-04-43 (Ватсап)+тг
gegarkunik.aviastal.am,Гегаркуник,,,,,gegarkunik@aviastal.am,пока не делаем,Армения,,
gomel.aviastal.by,Гомель,,,375(44)503-88-86,445038886,gomel@aviastal.by,"г. Гомель, ул. Гагарина, д.49",Беларусь,,375(44)503-88-86 ва+тг
grodno.aviastal.by,Гродно,,,375(44)503-88-86,445038886,grodno@aviastal.by,"Гродно, Дзержинского, 40 Городничанский ТС Бизнес-центр",Беларусь,,375(44)503-88-86 ва+тг
groznyj.aviastal.ru,Грозный,,,8 (861) 944-64-68,8619446468;9034116468,groznyj@aviastal.ru,"просп. Ахмат-Хаджи Абдулхамидовича Кадырова, 3/25",Россия,,89034116468.0
gyandzha.aviasteel.az,Гянджа,,,,,Gyandzha@AVIASTEEL.AZ,пока не делаем,Азербайджан,,
derbent.aviastal.ru,Дербент,,,8 (861) 944-64-68,8619446468;9034116468,derbent@aviastal.ru,"ул. Генерала Сеидова, 20",Россия,,89034116468.0
dzhalal.aviastal.kg,Джалал-Абад,,,,,Dzhalal@aviastal.kg,пока не делаем,Киргизия,,
