domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
inmetprom.ru,Москва,+7 (499) 130-18-36,+7 (495) 755-38-06,+7 (495) 755-36-28,4957553628;9037553628;4957553806;9037553806;4991301836,msk@inmetprom.ru,"Рязанский проспект, 86/1с1",Россия,imp_manager5,7 (903) 755-38-06,https://yandex.ru/maps/org/inmetprom/33452185974/,https://2gis.ru/moscow/firm/70000001082688018/,
spb.inmetprom.ru,Санкт-Петербург,+7 (812) 703-86-99,+7 (812) 740-66-06,+7 (812) 983-53-36,8129835336;9602835336;8127406606;9052006606;8127038699,spb@inmetprom.ru,"набережная Обводного канала, 64к2",Россия,imp_manager7,7 (906) 237-60-86,https://yandex.ru/maps/org/inmetprom/110216385182/,https://2gis.ru/spb/firm/70000001091794007/,"https://www.google.com/maps/place/%D0%98%D0%BD%D1%82%D0%B5%D1%80%D0%9C%D0%B5%D1%82%D0%9F%D1%80%D0%BE%D0%BC/@59.9088702,-8.7008971,4z/data=!4m10!1m2!2m1!1z0LjQvdC80LXRgtC_0YDQvtC8!3m6!1s0x4696305a6834adb1:0x111e8b48ebd5a2ba!8m2!3d59.9088702!4d30.3225404!15sChLQuNC90LzQtdGC0L_RgNC-0LySAR5yb2xsZWRfbWV0YWxfcHJvZHVjdHNfc3VwcGxpZXLgAQA!16s%2Fg%2F11f24x5xcy?entry=ttu&g_ep=EgoyMDI2MDcyMC4wIKXMDSoASAFQAw%3D%3D"
novosibirsk.inmetprom.ru,Новосибирск,+7 (383) 263-33-69,+7 (383) 263-15-58,+7 (383) 249-82-56,3832498256;9628298256;3832631558;9039001558;3832633369,nsk@inmetprom.ru,"Фабричная улица, 16",Россия,imp_manager2,7 (963) 452-32-49,https://yandex.ru/maps/org/inmetprom/163281713408/,https://2gis.ru/novosibirsk/firm/70000001091804611,
ekaterinburg.inmetprom.ru,Екатеринбург,+7 (343) 266-33-16,+7 (343) 266-33-79,+7 (343) 202-38-68,3432023868;9506313868;3432663379;9030863379;3432663316,ekb@inmetprom.ru,"переулок Автоматики, 4",Россия,imp_manager9,7 (962) 611-16-88,https://yandex.ru/maps/org/inmetprom/242666495304/,https://2gis.ru/ekaterinburg/firm/70000001090474890/,
kazan.inmetprom.ru,Казань,,,+7 (843) 253-28-86,8432532886;9033052886,kazan@inmetprom.ru,"Солдатская улица, 8",Россия,imp_manager6,7 (963) 230-68-80,https://yandex.ru/maps/org/inmetprom/4079865362/,https://2gis.ru/kazan/firm/70000001091830271,
krasnoyarsk.inmetprom.ru,Красноярск,,,+7 (391) 296-81-18,3912968118;9059768118,krasnoyarsk@inmetprom.ru,"2-я Брянская улица, 59/6",Россия,imp_manager2,7 (963) 452-32-49,https://yandex.ru/maps/org/inmetprom/89070775736/,https://2gis.ru/krasnoyarsk/firm/70000001092798654,
nizhny-novgorod.inmetprom.ru,Нижний Новгород,+7 (831) 414-03-29,+7 (831) 414-02-66,+7 (831) 213-68-80,8312136880;9632306880;8314140266;9036010266;8314140329,nizhny-novgorod@inmetprom.ru,"Электровозная улица, 7",Россия,imp_manager6,7 (963) 230-68-80,https://yandex.ru/maps/org/inmetprom/176338864185/,https://2gis.ru/n_novgorod/firm/70000001091838209/,
chelyabinsk.inmetprom.ru,Челябинск,+7 (351) 216-37-88,+7 (351) 216-30-85,+7 (351) 223-63-80,3512236380;9191236380;3512163085;9624853085;3512163788,chelyabinsk@inmetprom.ru,"1-я Потребительская улица, 12/2",Россия,imp_manager4,7 (919) 123-63-80,https://yandex.ru/maps/org/inmetprom/144048568912/,https://2gis.ru/chelyabinsk/firm/70000001051918059/,
ufa.inmetprom.ru,Уфа,,,+7 (347) 299-64-67,3472996467;9608006467,ufa@inmetprom.ru,"улица Шота Руставели, 49",Россия,imp_manager9,7 (962) 611-16-88,https://yandex.ru/maps/org/inmetprom/24842913137/,https://2gis.ru/ufa/firm/70000001092809213,
samara.inmetprom.ru,Самара,+7 (846) 221-69-36,+7 (846) 221-03-39,+7 (846) 267-10-72,8462671072;9053001072;8462210339;9033010339;8462216936,samara@inmetprom.ru,"проезд Мальцева, 7",Россия,imp_manager9,7 (962) 611-16-88,https://yandex.ru/maps/org/inmetprom/29720143974/,https://2gis.ru/samara/firm/70000001092808595,
