domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
mepen.ru,Москва,,,7 (495) 799-14-38,4957991438,moscow@mepen.ru,"1-й Институтский проезд, 1с4",Россия,,,https://yandex.ru/maps/org/metpromenergo/140867501802/,,
spb.mepen.ru,Санкт-Петербург,,,7 (812) 986-43-98,8129864398,spb@mepen.ru,"Гаванская улица, 4",Россия,,,https://yandex.ru/maps/org/metpromenergo/46921969012/,https://2gis.ru/spb/firm/70000001112978594,
nsk.mepen.ru,Новосибирск,,,7 (383) 249-87-18,3832498718,novosibirsk@mepen.ru,"улица Бородина, 58",Россия,,,https://yandex.ru/maps/org/metpromenergo/116846236337/,https://2gis.ru/novosibirsk/firm/70000001101937080,
ekb.mepen.ru,Екатеринбург,,,7 (343) 200-82-88,3432008288,ekaterinburg@mepen.ru,"улица Сибирский тракт, 57",Россия,,,https://yandex.ru/maps/org/metpromenergo/120874718919/,https://2gis.ru/ekaterinburg/firm/70000001111452481,
kazan.mepen.ru,Казань,,,7 (843) 253-28-66,8432532866,kzn@mepen.ru,"улица Габдуллы Тукая, 82",Россия,,,https://yandex.ru/maps/org/metpromenergo/189687026781/?ll=49.116340%2C55.776568&z=17,https://2gis.ru/kazan/firm/70000001113227859,
nizhniy-novgorod.mepen.ru,Нижний Новгород,,,7 (831) 414-40-89,8314144089,novgorod@mepen.ru,"Ракетная улица, 9Б",Россия,,,https://yandex.ru/maps/org/metpromenergo/133909976495/,https://2gis.ru/n_novgorod/search/%D0%9C%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D1%82%D0%BE%D1%80%D0%B3/firm/70000001112997038/43.885843%2C56.303697?m=43.885843%2C56.303697%2F17.28,
chel.mepen.ru,Челябинск,,,7 (351) 216-65-34,3512166534,chelyabinsk@mepen.ru,"Советская улица, 16А",Россия,,,https://yandex.ru/maps/org/metpromenergo/210362345398/,https://2gis.ru/chelyabinsk/firm/70000001112968971,
krasnoyarsk.mepen.ru,Красноярск,,,7 (391) 271-74-08,3912717408,krasnoyarsk@mepen.ru,"Северное шоссе, 25",Россия,,,https://yandex.ru/maps/org/metpromenergo/210788388746/,,
omsk.mepen.ru,Омск,,,7 (381) 263-38-21,3812633821,omsk@mepen.ru,"4-я улица Челюскинцев, 1А",Россия,,,https://yandex.ru/maps/org/metpromenergo/154630720177/,,
rostov.mepen.ru,Ростов-на-Дону,,,7 (863) 301-06-79,8633010679,rostov@mepen.ru,"улица Вавилова, 60",Россия,,,https://yandex.ru/maps/org/metpromenergo/112917938811/,,
samara.mepen.ru,Самара,,,7 (846) 267-01-06,8462670106,samara@mepen.ru,"Заводское шоссе, 15",Россия,,,https://yandex.ru/maps/org/metpromenergo/118811461588/,,
ufa.mepen.ru,Уфа,,,7 (347) 299-67-11,3472996711,ufa@mepen.ru,"улица 50 лет СССР, 39к11",Россия,,,https://yandex.ru/maps/org/metpromenergo/68482501329/,,
voronezh.mepen.ru,Воронеж,,,7 (473) 251-60-09,4732516009,vrn@mepen.ru,"улица Солдатское Поле, 285/5",Россия,,,https://yandex.ru/maps/org/metpromenergo/19402359619/,https://go.2gis.com/oCAfS,
perm.mepen.ru,Пермь,,,7 (342) 259-20-47,3422592047,perm@mepen.ru,"улица Докучаева, 50/2",Россия,,,https://yandex.ru/maps/org/metpromenergo/50929527354/,,
volgograd.mepen.ru,Волгоград,,,7 (844) 260-50-66,8442605066,volgograd@mepen.ru,"Горнополянский разъезд, 3",Россия,,,https://yandex.ru/maps/org/metpromenergo/129938274175/,https://2gis.ru/volgograd/firm/70000001097298165,
krasnodar.mepen.ru,Краснодар,,,7 (861) 944-64-08,8619446408,krasnodar@mepen.ru,"Путевая улица, 1",Россия,,,https://yandex.ru/maps/org/metpromenergo/99691002814/,,
saratov.mepen.ru,Саратов,,,7 (845) 253-12-32,8452531232,saratov@mepen.ru,"Фабричная улица, 1Ас1",Россия,,,https://yandex.ru/maps/org/metpromenergo/239286294943/,,
tyumen.mepen.ru,Тюмень,,,7 (345) 238-75-68,3452387568,tumen@mepen.ru,"улица 50 лет Октября, 180",Россия,,,,,
toluatty.mepen.ru,Тольятти,,,7 (848) 241-16-06,8482411606,tlt@mepen.ru,"Новозаводская улица, 2Б",Россия,,,https://yandex.ru/maps/org/metpromenergo/223447148938/,,
izhevsk.mepen.ru,Ижевск,,,7 (341) 290-62-13,3412906213,izhevsk@mepen.ru,"улица Телегина, 30",Россия,,,https://yandex.ru/maps/org/metpromenergo/113694217806/,,
barnaul.mepen.ru,Барнаул,,,7 (385) 225-29-52,3852252952,barnaul@mepen.ru,"проспект Калинина, 116",Россия,,,https://yandex.ru/maps/org/metpromenergo/201090287617/,,
ulyanovsk.mepen.ru,Ульяновск,,,7 (842) 273-00-68,8422730068,ulyanovsk@mepen.ru,"улица Кирова, 59Б",Россия,,,https://yandex.ru/maps/org/metpromenergo/188547513698/,,
irkutsk.mepen.ru,Иркутск,,,7 (395) 257-93-89,3952579389,irkutsk@mepen.ru,"Трактовая улица, 1/3к3",Россия,,,https://yandex.ru/maps/org/metpromenergo/69649874107/,,
khabarovsk.mepen.ru,Хабаровск,,,7 (421) 268-01-66,4212680166,khabarovsk@mepen.ru,"улица Кирова, 1Б",Россия,,,https://yandex.ru/maps/org/metpromenergo/190272500997/,,
vladivostok.mepen.ru,Владивосток,,,7 (423) 254-00-16,4232540016,vladivostok@mepen.ru,"Щитовая улица, 19А",Россия,,,https://yandex.ru/maps/org/metpromenergo/113664142087,,
mahachkala.mepen.ru,Махачкала,,,7 (872) 221-58-68,8722215868,mahachkala@mepen.ru,"проспект Али-Гаджи Акушинского, 335",Россия,,,https://yandex.ru/maps/org/metpromenergo/62574322612/,,
yaroslavl.mepen.ru,Ярославль,,,7 (485) 259-58-86,4852595886,yaroslavl@mepen.ru,"проспект Машиностроителей, 64",Россия,,,https://yandex.ru/maps/org/metpromenergo/83044565058/,,
orenburg.mepen.ru,Оренбург,,,7 (353) 220-06-88,3532200688,oren@mepen.ru,"Северная улица, 40",Россия,,,,,
tomsk.mepen.ru,Томск,,,7 (382) 222-59-85,3822225985,tomsk@mepen.ru,"улица Смирнова, 9",Россия,,,https://yandex.ru/maps/org/metpromenergo/205043118154/,,
kemerovo.mepen.ru,Кемерово,,,7 (384) 224-02-58,3842240258,kemerovo@mepen.ru,"Кузнецкий проспект, 33Г",Россия,,,https://yandex.ru/maps/org/metpromenergo/208586121178/,,
novokuznetsk.mepen.ru,Новокузнецк,,,7 (384) 320-99-68,3843209968,novokuznetsk@mepen.ru,"Ильинское шоссе, 35/1",Россия,,,https://yandex.ru/maps/org/metpromenergo/23910489078/,,
ryazan.mepen.ru,Рязань,,,7 (491) 299-06-80,4912990680,ryazan@mepen.ru,"улица Зубковой, 27к3",Россия,,,https://yandex.ru/maps/org/metpromenergo/148452510342/,,
astrahan.mepen.ru,Астрахань,,,7 (851) 269-03-88,8512690388,astrahan@mepen.ru,"8-я Железнодорожная улица, 59к1",Россия,,,https://yandex.ru/maps/org/metpromenergo/99369138790/,,
naberezhnye-chelny.mepen.ru,Набережные Челны,,,7 (855) 220-03-38,8552200338,nabchelny@mepen.ru,"проспект Сююмбике, 40",Россия,,,https://yandex.ru/maps/org/metpromenergo/216943043640/,,
balashiha.mepen.ru,Балашиха,,,7 (495) 799-14-38,4957991438,balashiha@mepen.ru,"проспект Ленина, 2",Россия,,,,,
penza.mepen.ru,Пенза,,,7 (841) 230-06-61,8412300661,penza@mepen.ru,"улица 65-летия Победы, 12",Россия,,,,,
kirov.mepen.ru,Киров,,,7 (833) 220-56-88,8332205688,kirov@mepen.ru,"Слобода Корчёмкино, 10",Россия,,,https://yandex.ru/maps/org/metpromenergo/190462100131/,,
lipeck.mepen.ru,Липецк,,,7 (474) 237-71-10,4742377110,lipeck@mepen.ru,"улица Гагарина, 125",Россия,,,https://yandex.ru/maps/org/metpromenergo/215373870756/,,
cheboksary.mepen.ru,Чебоксары,,,7 (835) 248-03-30,8352480330,cheboksary@mepen.ru,"улица Фёдора Гладкова, 32",Россия,,,,,
kaliningrad.mepen.ru,Калининград,,,7 (401) 237-55-06,4012375506,kaliningrad@mepen.ru,"проспект Московский, 268",Россия,,,https://yandex.ru/maps/org/metpromenergo/141581805285/,,
tula.mepen.ru,Тула,,,7 (487) 238-58-86,4872385886,tula@mepen.ru,"улица Чмутова, 164Г",Россия,,,https://yandex.ru/maps/org/metpromenergo/58674349714/,,
kursk.mepen.ru,Курск,,,7 (471) 222-08-66,4712220866,kursk@mepen.ru,"проспект Ленинского Комсомола, 49",Россия,,,,,
stavropol.mepen.ru,Ставрополь,,,7 (865) 269-30-08,8652693008,stavropol@mepen.ru,"Биологическая улица, 20",Россия,,,,,
ulan-ude.mepen.ru,Улан-Удэ,,,7 (301) 239-03-88,3012390388,ulanude@mepen.ru,"улица Терешковой, 2А",Россия,,,https://yandex.ru/maps/org/metpromenergo/62476590298/,,
tver.mepen.ru,Тверь,,,7 (482) 241-71-16,4822417116,tver@mepen.ru,"Дружинная улица, 5",Россия,,,https://yandex.ru/maps/org/metpromenergo/11421798768/,,
