domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
metpromintex.ru,Москва,,,+7 (495) 729-83-58,4957298358,moscow@metpromintex.ru,"улица Потаповская Роща, 12/2",Россия,,+7 (903) 729-83-58,https://yandex.ru/maps/org/metprominteks/1301322055/?ll=37.861664%2C55.726809&mode=search&sctx=ZAAAAAgBEAAaKAoSCYNuL2mMO1dAEZmAXyNJ%2FktAEhIJ8IgK1c3Fjz8RrcCQ1a2ecz8iBgABAgMEBSgKOABA%2B5EHSAFqAnJ1nQHNzEw9oAEAqAEAvQFRtTnRwgEFx7LC7ASCAifQvNC%2B0YHQutCy0LAg0LzQtdGC0L%2FRgNC%2B0LzQuNC90YLQtdC60YGKAgCSAgMyMTOaAgxkZXNrdG9wLW1hcHM%3D&sll=37.861664%2C55.726809&sspn=0.031243%2C0.009712&text=%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%20%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81&z=15.98,https://2gis.ru/moscow/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81%20%D0%BC%D0%BE%D1%81%D0%BA%D0%B2%D0%B0/firm/70000001058778086?m=37.749538%2C55.724549%2F11.38,"https://www.google.com/maps/place/%D0%9C%D0%B5%D1%82%D0%9F%D1%80%D0%BE%D0%BC%D0%98%D0%BD%D1%82%D0%B5%D0%BA%D1%81/@55.7212139,37.7546649,15z/data=!4m2!3m1!1s0x0:0xcd85823526b921c?sa=X&ved=2ahUKEwjvyaCfu6eCAxWlcPEDHZUvDdUQ_BJ6BAhGEAA&hl=ru"
spb.metpromintex.ru,Санкт-Петербург,,,+7 (812) 982-11-69,8129821169,spb@metpromintex.ru,"Морская набережная, 31к1",Россия,,+7 (962) 686-43-28,https://yandex.ru/maps/org/metprominteks/234955079710/?ll=30.610024%2C59.878639&mode=search&sctx=ZAAAAAgBEAAaKAoSCZ31KcdkD0lAEdoc5zbhmEpAEhIJCyqqfqVz6T8RiNnLttPW0D8iBgABAgMEBSgKOABAAkgBagJydZ0BzcxMPaABAKgBAL0B9UEKY8IBBp6AqKPrBoICONGB0LDQvdC60YIt0L%2FQtdGC0LXRgNCx0YPRgNCzINC80LXRgtC%2F0YDQvtC80LjQvdGC0LXQutGBigIAkgIBMpoCDGRlc2t0b3AtbWFwcw%3D%3D&sll=30.610024%2C59.878639&sspn=4.197974%2C1.162446&text=%D1%81%D0%B0%D0%BD%D0%BA%D1%82-%D0%BF%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%20%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81&z=8.91,https://2gis.ru/spb/inside/5348660212662865/firm/70000001081104279?m=30.216992%2C59.959108%2F16,
nsk.metpromintex.ru,Новосибирск,,,+7 (383) 249-85-78,3832498578,novosibirsk@metpromintex.ru,"улица Максима Горького, 39",Россия,,+7 (962) 829-85-78,https://yandex.ru/maps/org/metprominteks/208457118853/?ll=83.004971%2C55.001678&mode=search&sctx=ZAAAAAgBEAAaKAoSCZqZmZmZVU5AEVeXUwJicExAEhIJ0lRP5h99uz8Rhe6SOCuipj8iBgABAgMEBSgKOABA2pwGSAFqAnJ1nQHNzEw9oAEAqAEAvQFqBTpKwgEMhemMyIgGsNDj0csBggIx0J3QvtCy0L7RgdC40LHQuNGA0YHQuiDQvNC10YLQv9GA0L7QvNC40L3RgtC10LrRgYoCAJICAjY1mgIMZGVza3RvcC1tYXBz&sll=83.187139%2C55.001678&sspn=1.000535%2C0.432443&text=%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA%20%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81&z=10.53,https://2gis.ru/novosibirsk/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81%20%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA/firm/70000001067280333/82.911031%2C55.026608?m=82.911066%2C55.026598%2F17.64,
ekb.metpromintex.ru,Екатеринбург,,,+7 (343) 202-02-88,3432020288,ekaterinburg@metpromintex.ru,"улица Кузнецова, 2Б",Россия,,+7 (952) 148-04-93,https://yandex.ru/maps/org/metprominteks/166712425730/?ll=60.608024%2C56.887707&z=18,https://2gis.ru/ekaterinburg/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81?m=60.61642%2C56.840002%2F10.79,"https://www.google.com/maps/place/%D0%9C%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81/@56.881868,60.648961,15z/data=!4m6!3m5!1s0x43c16d96e6037d57:0x1c44d8f4f7a2b510!8m2!3d56.881868!4d60.648961!16s%2Fg%2F11gcm0ch_b?entry=ttu"
kazan.metpromintex.ru,Казань,,,+7 (843) 216-39-54,8432163954,kazan@metpromintex.ru,"улица Мазита Гафури, 71",Россия,,+7 (903) 602-40-91,,,
krasnoyarsk.metpromintex.ru,Красноярск,,,+7 (391) 271-75-47,3912717547,krasnoyarsk@metpromintex.ru,"Тамбовская улица, 5",Россия,,+7 (962) 829-85-78,https://yandex.ru/maps/org/metprominteks/218208924466/?ll=93.034580%2C56.012199&z=16,https://2gis.ru/krasnoyarsk/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA/firm/70000001081112296/93.033774%2C56.012812?m=93.033733%2C56.012833%2F17.6,
nn.metpromintex.ru,Нижний Новгород,,,+7 (831) 414-40-91,8314144091,nn@metpromintex.ru,"улица Ковпака, 1А",Россия,,+7 (903) 602-40-91,,https://2gis.ru/n_novgorod/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81%20%D0%BD%D0%B8%D0%B6%D0%BD%D0%B8%D0%B9%20%D0%BD%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4/firm/70000001081103692/43.89556%2C56.274949?m=43.89556%2C56.274949%2F17.59,
chelyabinsk.metpromintex.ru,Челябинск,,,+7 (351) 223-68-30,3512236830,chelyabinsk@metpromintex.ru,"Троицкий тракт, 11Ак1",Россия,,+7 (919) 123-68-30,,https://2gis.ru/chelyabinsk/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81%20%D1%87%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA/firm/70000001081116566/61.385886%2C55.111173?m=61.385858%2C55.111163%2F17.63,
ufa.metpromintex.ru,Уфа,,,+7 (347) 299-64-47,3472996447,ufa@metpromintex.ru,"улица Рихарда Зорге, 11/1",Россия,,+7 (952) 148-04-93,,https://2gis.ru/ufa/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81%20%D1%83%D1%84%D0%B0/firm/70000001081104806/56.093597%2C54.798049?m=56.093561%2C54.79804%2F17.65,
samara.metpromintex.ru,Самара,,,+7 (846) 267-11-07,8462671107,samara@metpromintex.ru,"Красноармейская улица, 1",Россия,,+7 (952) 148-04-93,https://yandex.ru/maps/org/metprominteks/230172378143/?ll=50.120263%2C53.194373&mode=search&sctx=ZAAAAAgBEAAaKAoSCbnDJjJzD0xAEci0No3t9UxAEhIJCyqqfqVz6T8RtcGJ6NfWzT8iBgABAgMEBSgKOABA0IsGSABqAnJ1nQHNzEw9oAEAqAEAvQF0DZP4wgEGn4jfutkGggIn0YHQsNC80LDRgNCwINC80LXRgtC%2F0YDQvtC80LjQvdGC0LXQutGBigIAkgICNTGaAgxkZXNrdG9wLW1hcHM%3D&sll=50.120263%2C53.194373&sspn=0.795367%2C0.263112&text=%D1%81%D0%B0%D0%BC%D0%B0%D1%80%D0%B0%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81&z=11.31,https://2gis.ru/samara/search/%D0%BC%D0%B5%D1%82%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%82%D0%B5%D0%BA%D1%81%20%D1%81%D0%B0%D0%BC%D0%B0%D1%80%D0%B0/firm/70000001081103894/50.090943%2C53.19548?m=50.090986%2C53.195499%2F17.7,
