domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
metpromko.az,Баку,,,+994-12-311-01-45,123110145,info@metpromko.az,"ул. Муртуза Мухтарова, 201",Азербайджан,,,,,
metpromko.am,Ереван,,,(861) 944-63-99,8619446399,info@metpromko.am,"ул. Гарегина Нжде, 46",Армения,,,,,
metpromko.by,Минск,,,375 (44) 755-66-61,447556661,minsk@metpromko.ru,"Промышленная ул., д. 6/Б",Беларусь,,,,,
metpromko.kz,Алматы,,,(727) 329-70-08,7273297008,almaty@metpromko.kz,"ул. Богенбай Батыра, д. 241",Казахстан,,,,,
metpromko.kz,Астана,,,(7172) 78-30-80,7172783080,astana@metpromko.kz,"ш. Алаш, д. 18",Казахстан,,,,,
metpromko.kz,Караганда,,,(708) 987-98-16,7089879816,karaganda@metpromko.kz,"проспект Бухар Жырау, д. 81/1",Казахстан,,,,,
metpromko.kz,Шымкент,,,(708) 987-98-16,7089879816,shymkent@metpromko.kz,"проспект Тауке хана, 330",Казахстан,,,,,
metpromko.kg,Бишкек,,,+996-777-51-72-23,777517223,info@metpromko.kg,"ул. Ибраимова, 30/1",Киргизия,,,,,
metpromko.kg,Ош,,,+996-777-51-72-23,777517223,osh@metpromko.kg,"ул. Ленина, 316",Киргизия,,,,,
metpromko.ru,Барнаул,,,(3852) 25-24-41,3852252441,barnaul@metpromko.ru,"Комсомольский проспект, 120",Россия,,(962) 223-51-86,,,
metpromko.ru,Владивосток,,,(4232) 80-56-71,4232805671,vladivostok@metpromko.ru,"ул. Морозова, д. 11Б, оф. 106А",Россия,,(962) 223-51-86,,,
metpromko.ru,Владикавказ,,,(800) 700-61-58,8007006158,vladikavkaz@metpromko.ru,"ул. Молодёжная, 21А",Россия,,(903) 411-77-85,,,
metpromko.ru,Волгоград,,,(8442) 60-99-51,8442609951,volgograd@metpromko.ru,"ул. им. Рихарда Зорге, 55, оф. 3",Россия,,(903) 411-77-85,,,
metpromko.ru,Воронеж,,,(4732) 51-42-33,4732514233,voronezh@metpromko.ru,"проспект Труда, 139Г, оф. 26",Россия,,(963) 136-87-88,,,
metpromko.ru,Екатеринбург,,,"(343) 202-68-86
(343) 202-38-83",3432026886;3432023883,ekb@metpromko.ru,"просп. Космонавтов д. 158, литер В",Россия,,(963) 136-87-88,,,
metpromko.ru,Ижевск,,,(3412) 32-33-75,3412323375,izhevsk@metpromko.ru,"ул. Союзная, 161, оф. 18",Россия,,(965) 842-33-75,,,
metpromko.ru,Иркутск,,,(3952) 57-92-40,3952579240,irkutsk@metpromko.ru,"ул. Советская, д. 45А, оф. 15",Россия,,(962) 223-51-86,,,
metpromko.ru,Казань,,,(843) 216-62-83,8432166283,kazan@metpromko.ru,"ул. Тихорецкая, 2А, оф. 208",Россия,,(963) 230-68-83,,,
metpromko.ru,Кемерово,,,(3842) 24-02-15,3842240215,kemerovo@metpromko.ru,"Кузбасская улица, 10",Россия,,(962) 223-51-86,,,
metpromko.ru,Краснодар,,,(861) 944-63-99,8619446399,krasnodar@metpromko.ru,"ул. Коммунаров, 31/1, оф. 4/1",Россия,,(903) 411-77-85,,,
metpromko.ru,Красноярск,,,(391) 271-78-47,3912717847,krasnoyarsk@metpromko.ru,"ул. Затонская, 32, оф. 3-3",Россия,,(962) 223-51-86,,,
metpromko.ru,Махачкала,,,(800) 700-61-58,8007006158,makhachkala@metpromko.ru,"ул. Хаджи Булача, 17Г",Россия,,(903) 411-77-85,,,
metpromko.ru,Москва,,,(495) 961-75-16,4959617516,moscow@metpromko.ru,"ул. Потаповская роща, 12к2, оф. 6",Россия,,(903) 961-75-16,,,
metpromko.ru,Нижневартовск,,,(3466) 22-02-88,3466220288,nizhnevartovsk@metpromko.ru,"ул. 60 лет Октября, 4Пс8",Россия,,(963) 136-87-88,,,
metpromko.ru,Нижний Новгород,,,(831) 213-65-38,8312136538,nn@metpromko.ru,"ул. Ванеева, 127, оф. 18",Россия,,(963) 230-68-83,,,
metpromko.ru,Новокузнецк,,,(3843) 20-99-83,3843209983,novokuznetsk@metpromko.ru,"ул. Орджоникидзе,11",Россия,,(962) 223-51-86,,,
metpromko.ru,Новосибирск,,,(383) 249-88-04,3832498804,novosibirsk@metpromko.ru,"ул. Залесского, д. 7/2, оф. 21",Россия,,(962) 223-51-86,,,
metpromko.ru,Омск,,,(3812) 63-31-75,3812633175,omsk@metpromko.ru,"ул. Училищная, 12 / Потанина, д. 15, оф. 6",Россия,,(962) 223-51-86,,,
metpromko.ru,Оренбург,,,(3532) 26-93-35,3532269335,orenburg@metpromko.ru,"ул. Аксакова, 8/9",Россия,,(963) 136-87-88,,,
metpromko.ru,Пермь,,,(342) 259-22-85,3422592285,perm@metpromko.ru,"ул. Екатерининская, д. 120А, оф. 210",Россия,,(965) 842-33-75,,,
metpromko.ru,Ростов-на-Дону,,,(863) 256-14-86,8632561486,rostov@metpromko.ru,"ул. Металлургическая, д. 113/46, оф. 1",Россия,,(903) 411-77-85,,,
metpromko.ru,Рязань,,,(491) 299-57-69,4912995769,ryazan@metpromko.ru,"Куйбышевское ш., 25с17",Россия,,(963) 136-87-88,,,
metpromko.ru,Самара,,,(846) 267-01-61,8462670161,samara@metpromko.ru,"ул. Галактионовская, 39, оф. 46",Россия,,(963) 136-87-88,,,
metpromko.ru,Санкт-Петербург,,,(812) 982-40-68,8129824068,spb@metpromko.ru,"Малоохтинский проспект, д. 90",Россия,,(962) 686-43-08,,,
metpromko.ru,Саратов,,,(8452) 65-17-66,8452651766,saratov@metpromko.ru,"ул. им. Е.И. Пугачева, 147/151, оф. 304Б",Россия,,(963) 136-87-88,,,
metpromko.ru,Севастополь,,,(8692) 88-78-08,8692887808,sevastopol@metpromko.ru,"ул. Вакуленчука, 29, корп. 4",Россия,,(903) 411-77-85,,,
metpromko.ru,Симферополь,,,(3652) 88-98-68,3652889868,simferopol@metpromko.ru,"ул. Глинки, 65",Россия,,(903) 411-77-85,,,
metpromko.ru,Ставрополь,,,(8652) 92-75-24,8652927524,stavropol@metpromko.ru,"ул. Ленина, 392",Россия,,(903) 411-77-85,,,
metpromko.ru,Сургут,,,(3462) 70-37-88,3462703788,surgut@metpromko.ru,"ул. Пионерная, 7",Россия,,(963) 136-87-88,,,
metpromko.ru,Тольятти,,,(8482) 71-33-67,8482713367,tolyatti@metpromko.ru,"ул. Мира, 133А",Россия,,(963) 136-87-88,,,
metpromko.ru,Томск,,,(3822) 22-59-81,3822225981,tomsk@metpromko.ru,"ул. Мичурина, 20",Россия,,(962) 223-51-86,,,
metpromko.ru,Тула,,,(4872) 38-43-46,4872384346,tula@metpromko.ru,"пр. Ленина, д. 26",Россия,,(963) 136-87-88,,,
metpromko.ru,Тюмень,,,(3452) 38-72-68,3452387268,tumen@metpromko.ru,"бульвар Бориса Щербины, 13, оф. 19",Россия,,(982) 938-76-58,,,
metpromko.ru,Уфа,,,(347) 298-87-88,3472988788,ufa@metpromko.ru,"пр-т Октября, 1/2, оф. 204",Россия,,(963) 136-87-88,,,
metpromko.ru,Хабаровск,,,(4212) 69-51-86,4212695186,khabarovsk@metpromko.ru,"ул. Серышева, 22",Россия,,(962) 223-51-86,,,
metpromko.ru,Челябинск,,,(351) 216-28-58,3512162858,mpk74@metpromko.ru,"ул. Новоэлеваторная, 49, оф. 202",Россия,,(968) 113-28-58,,,
metpromko.ru,Ярославль,,,(485) 266-24-51,4852662451,yaroslavl@metpromko.ru,"проспект Октября, 91А, оф. 308",Россия,,(963) 136-87-88,,,
