domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
met-trans.az,Баку,,,994 (12) 311-01-26,123110126,info@met-trans.az,"Yasamal distr., Suleyman Dadashov street, house 25, apt.17",Азербайджан,994 (50) 429-55-62,994 (50) 429-55-62,https://yandex.ru/maps/org/mettransterminal/114820744786/?ll=49.828588%2C40.418009&z=17,https://2gis.az/baku/firm/70000001115000708?m=49.831803%2C40.373286%2F16,https://goo.gl/maps/3CUzpDexbY28HGUB9
met-trans.am,Ереван,,,37 (443) 154598,43154598,info@met-trans.am,"ул. Атояна, д. 107",Армения,(962) 766-80-86,(962) 766-80-86,https://yandex.ru/maps/org/mettransterminal/174762196235/?ll=44.518017%2C40.142967&z=17,https://2gis.am/yerevan/firm/70000001114993714?m=44.518031%2C40.142998%2F16,https://goo.gl/maps/Ycwi1pJ6yrabKKSg8
brest.met-trans.by,Брест,,,375 (44) 504-58-88,445045888,brest@met-trans.by,"ул. Пионерская, д. 52",Беларусь,375 44 533-55-18,375 44 533-55-18,https://yandex.ru/maps/org/mettransterminal/223881258203/?ll=23.730983%2C52.097345&z=16,,
vitebsk.met-trans.by,Витебск,,,375 (44) 504-38-88,445043888,vitebsk@met-trans.by,"пр. Фрунзе, д. 81к1",Беларусь,375 44 533-55-18,375 44 533-55-18,https://yandex.ru/maps/org/mettransterminal/98243244907/?ll=30.257756%2C55.195956&z=16,,
gomel.met-trans.by,Гомель,,,375 (44) 509-68-88,445096888,gomel@met-trans.by,"пр. Ленина, д. 10",Беларусь,375 44 533-55-18,375 44 533-55-18,https://yandex.ru/maps/org/mettransterminal/245156347690/?ll=31.008199%2C52.425111&z=16,,
grodno.met-trans.by,Гродно,,,375 (29) 333-32-88,293333288,grodno@met-trans.by,"ул. Гаспадарчая, д. 19",Беларусь,375 44 533-55-18,375 44 533-55-18,https://yandex.ru/maps/org/mettransterminal/153573154755/?ll=23.825558%2C53.710601&z=16,,
met-trans.by,Минск,,,375 (44) 533-55-18,445335518,minsk@met-trans.by,"Проспект Партизанский 79, Бизнец-Центр Prizma",Беларусь,375 44 533-55-18,375 44 533-55-18,https://yandex.ru/maps/org/mettransterminal/5954729665/?ll=27.572404%2C53.891687&z=14,https://2gis.by/minsk/search/%D0%9C%D0%B5%D1%82%D1%82%D1%80%D0%B0%D0%BD%D1%81%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%B0%D0%BB/firm/70000001113487141/27.626415%2C53.876723?m=27.561038%2C53.903234%2F10.62,google.com/maps/place/МетТрансТерминал/data=!4m2!3m1!1s0x0:0xa519101d7a269c8?sa=X&ved=1t:2428&hl=ru&ictx=111
mogilev.met-trans.by,Могилев,,,375 (29) 300-38-88,293003888,mogilev@met-trans.by,"ул. Королёва, 8",Беларусь,375 44 533-55-18,375 44 533-55-18,https://yandex.ru/maps/org/mettransterminal/221719814769/?ll=30.366120%2C53.906559&z=16,,
aktau.mtt.kz,Актау,,,(708) 731-48-06,7087314806,aktau@mtt.kz,"микрорайон 29А, 43/9",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/23362682397/?ll=51.177265%2C43.666930&z=16,https://2gis.kz/aktau/firm/70000001044726377,
aktobe.mtt.kz,Актобе,,,(7132) 73-99-89,7132739989,aktobe@mtt.kz,"ул. Зинченко, д. 185",Казахстан,(700) 697-15-96,(700) 697-15-96,https://yandex.ru/maps/org/mettransterminal/205598332187/?ll=57.239887%2C50.250747&z=16,https://2gis.kz/aktobe/firm/70000001045092381,
