city,country,yandex_url,2gis_url
Москва,Россия,https://yandex.ru/maps/org/stalmetural/128446144797/reviews/,https://2gis.ru/moscow/firm/70000001077855514/tab/reviews
Санкт-Петербург,Россия,https://yandex.ru/maps/org/stalmetural/229648692343/reviews/,
Новосибирск,Россия,https://yandex.ru/maps/org/stalmetural/79868830395/reviews/,
Екатеринбург,Россия,https://yandex.ru/maps/org/stalmetural/1143534003/reviews/,https://2gis.ru/ekaterinburg/firm/70000001056078519/tab/reviews
Казань,Россия,https://yandex.ru/maps/org/stalmetural/104913644514/reviews/,
Красноярск,Россия,https://yandex.ru/maps/org/stalmetural/15441991925/reviews/,
Нижний Новгород,Россия,https://yandex.ru/maps/org/stalmetural/228494005767/reviews/,
Челябинск,Россия,https://yandex.ru/maps/org/stalmetural/109304409570/reviews/,https://2gis.ru/chelyabinsk/firm/70000001028034594/tab/reviews
Уфа,Россия,https://yandex.ru/maps/org/stalmetural/150969111377/reviews/,
Самара,Россия,https://yandex.ru/maps/org/stalmetural/106823264193/reviews/,https://2gis.ru/samara/firm/70000001061161107/tab/reviews
Ростов-на-Дону,Россия,https://yandex.ru/maps/org/stalmetural/151218579478/reviews/,
Краснодар,Россия,https://yandex.ru/maps/org/stalmetural/4393581902/reviews/,https://2gis.ru/krasnodar/firm/70000001060441667/tab/reviews
Омск,Россия,https://yandex.ru/maps/org/stalmetural/37158767109/reviews/,
Воронеж,Россия,https://yandex.ru/maps/org/stalmetural/143885893091/reviews/,https://2gis.ru/voronezh/firm/70000001061140626/tab/reviews
Пермь,Россия,https://yandex.ru/maps/org/stalmetural/60916044440/reviews/,https://2gis.ru/perm/firm/70000001035695882/tab/reviews
Волгоград,Россия,https://yandex.ru/maps/org/stalmetural/125165367563/reviews/,https://2gis.ru/volgograd/firm/70000001060440636/tab/reviews
Саратов,Россия,https://yandex.ru/maps/org/stalmetural/111407283130/reviews/,https://2gis.ru/saratov/firm/70000001061164630/tab/reviews
Тюмень,Россия,https://yandex.ru/maps/org/stalmetural/22517749446/reviews/,
Тольятти,Россия,https://yandex.ru/maps/org/stalmetural/181035892675/reviews/,
Барнаул,Россия,https://yandex.ru/maps/org/stalmetural/99764580978/reviews/,https://2gis.ru/barnaul/firm/70000001077862787/tab/reviews
Ижевск,Россия,https://yandex.ru/maps/org/stalmetural/243155492091/reviews/,
Хабаровск,Россия,https://yandex.ru/maps/org/stalmetural/90492027885/reviews/,https://2gis.ru/khabarovsk/firm/70000001061178051/tab/reviews
Ульяновск,Россия,https://yandex.ru/maps/org/stalmetural/157111470951/reviews/,https://2gis.ru/ulyanovsk/firm/70000001061195273/tab/reviews
Иркутск,Россия,https://yandex.ru/maps/org/stalmetural/114272803228/reviews/,https://2gis.ru/irkutsk/firm/70000001061178624/tab/reviews
Владивосток,Россия,https://yandex.ru/maps/org/stalmetural/69226317142/reviews/,
Ярославль,Россия,https://yandex.ru/maps/org/stalmetural/69707249429/reviews/,https://2gis.ru/yaroslavl/firm/70000001061168278/tab/reviews
Севастополь,Россия,https://yandex.ru/maps/org/stalmetural/199208306761/reviews/,
Ставрополь,Россия,https://yandex.ru/maps/org/stalmetural/46169435404/reviews/,https://2gis.ru/stavropol/firm/70000001061161228/tab/reviews
Кемерово,Россия,https://yandex.ru/maps/org/stalmetural/193160798189/reviews/,https://2gis.ru/kemerovo/firm/70000001061211113/tab/reviews
Томск,Россия,https://yandex.ru/maps/org/stalmetural/206814184572/reviews/,
Набережные Челны,Россия,https://yandex.ru/maps/org/stalmetural/115566834910/reviews/,https://2gis.ru/nabchelny/firm/70000001061161071/tab/reviews
Оренбург,Россия,https://yandex.ru/maps/org/stalmetural/121367618818/reviews/,https://2gis.ru/orenburg/firm/70000001061161844/tab/reviews
Новокузнецк,Россия,https://yandex.ru/maps/org/stalmetural/19136488587/reviews/,
Рязань,Россия,https://yandex.ru/maps/org/stalmetural/106228311300/reviews/,
Чебоксары,Россия,https://yandex.ru/maps/org/stalmetural/158032472122/reviews/,https://2gis.ru/cheboksary/firm/70000001061171186/tab/reviews
Калининград,Россия,https://yandex.ru/maps/org/stalmetural/242745077439/reviews/,https://2gis.ru/kaliningrad/firm/70000001061171670/tab/reviews
Пенза,Россия,https://yandex.ru/maps/org/stalmetural/3917046611/reviews/,
