city,country,yandex_url,2gis_url
Екатеринбург,Россия,https://yandex.ru/maps/org/steelborg/181961625511/reviews/,https://2gis.ru/ekaterinburg/firm/70000001111210900?m=60.612095%2C56.832863%2F16
Казань,Россия,https://yandex.ru/maps/org/steelborg/41435544052/reviews/,https://go.2gis.com/9ZheX
Краснодар,Россия,https://yandex.ru/maps/org/steelborg/59003906107/reviews/,https://go.2gis.com/uKRAV
Москва,Россия,https://yandex.ru/profile/13283828585/reviews/,https://go.2gis.com/29513
Нижний Новгород,Россия,https://yandex.ru/maps/org/steelborg/230406208547/reviews/,https://go.2gis.com/Cmsul
Новосибирск,Россия,https://yandex.ru/maps/org/steelborg/132214818899/reviews/,https://go.2gis.com/3drql
Пермь,Россия,https://yandex.ru/maps/org/steelborg/46262134600/reviews/,https://go.2gis.com/k4l8y
Ростов-на-Дону,Россия,https://yandex.ru/maps/org/steelborg/6794681329/reviews/,https://go.2gis.com/GLs8c
Самара,Россия,https://yandex.ru/maps/org/steelborg/15692308688/reviews/,https://go.2gis.com/EOeqz
Санкт-Петербург,Россия,https://yandex.ru/maps/org/steelborg/28264547167/reviews/,https://go.2gis.com/viFyR
Тюмень,Россия,https://yandex.ru/maps/org/steelborg/79751864113/reviews/,https://go.2gis.com/b6tHc
Уфа,Россия,https://yandex.ru/maps/org/steelborg/35430740806/reviews/,https://go.2gis.com/h6rbO
Челябинск,Россия,https://yandex.ru/maps/org/steelborg/88935268593/reviews/,https://go.2gis.com/avkva
Алматы,Казахстан,https://yandex.ru/maps/org/steelborg/222633782677/reviews/,
Караганда,Казахстан,https://yandex.ru/maps/org/steelborg/149583669366/reviews/,
Астана,Казахстан,https://yandex.ru/maps/org/steelborg/21486860916/reviews/,
Шымкент,Казахстан,https://yandex.ru/maps/org/steelborg/217382504759/reviews/,https://2gis.kz/shymkent/firm/70000001111014034?m=69.629442%2C42.387616%2F18.25
Минск,Беларусь,https://yandex.ru/maps/org/steelborg/240320440371/reviews/,https://2gis.by/minsk/search/Steelborg/firm/70000001113441309/27.561543%2C53.904621?m=27.561038%2C53.903234%2F10.79
Ташкент,Узбекистан,https://yandex.ru/maps/org/stilborg/199188943645/reviews/,https://2gis.uz/tashkent/search/STEELBORG/firm/70000001110900076/69.27491%2C41.296325?m=69.279857%2C41.311554%2F10.79
Бишкек,Кыргызстан,https://yandex.ru/maps/org/steelborg/41637174132/reviews/,https://2gis.kg/bishkek/firm/70000001110853770?m=74.61129%2C42.873012%2F16
Баку,Азербайджан,https://yandex.ru/maps/org/steelborg/233225331683/reviews/,https://2gis.az/baku/firm/70000001115823674?m=49.858376%2C40.376283%2F16
Атырау,Казахстан,https://yandex.ru/maps/org/steelborg/153921733868/reviews/,https://2gis.kz/atyrau/firm/70000001111823262?m=51.931139%2C47.102249%2F16
Актобе,Казахстан,https://yandex.ru/maps/org/steelborg/69572395550/reviews/,https://2gis.kz/aktobe/search/Steelborg/firm/70000001113346011/57.23392%2C50.293646?m=57.154111%2C50.300593%2F10.79
Костанай,Казахстан,https://yandex.ru/maps/org/steelborg/71549385050/reviews/,https://2gis.kz/kostanaj/search/Steelborg/firm/70000001105706316/63.589961%2C53.206765?m=63.631865%2C53.215006%2F10.79
Петропавловск,Казахстан,https://yandex.ru/maps/org/steelborg/54314309845/reviews/,
Актау,Казахстан,https://yandex.ru/maps/org/steelborg/186228084693/reviews/,https://2gis.kz/aktau/firm/70000001111054498?m=51.138665%2C43.669763%2F16
Уральск,Казахстан,https://yandex.ru/maps/org/steelborg/12942035972/reviews/,https://2gis.kz/uralsk/firm/70000001111028720?m=51.387413%2C51.20451%2F16
Павлодар,Казахстан,https://yandex.ru/maps/org/steelborg/166602052454/reviews/,https://2gis.kz/pavlodar/search/Steelborg/firm/70000001113299225/76.985489%2C52.287713?m=76.941208%2C52.285943%2F10.79
Усть-Каменогорск,Казахстан,https://yandex.ru/maps/org/steelborg/58507343234/reviews/,https://2gis.kz/ust-kamenogorsk/firm/70000001109769353?m=82.639289%2C49.948824%2F16
Тараз,Казахстан,https://yandex.ru/maps/org/steelborg/42329653568/reviews/,
Кызылорда,Казахстан,https://yandex.ru/maps/org/steelborg/86131543098/reviews/,https://2gis.kz/kyzylorda/search/Steelborg/firm/70000001113300026/65.538422%2C44.828576?m=65.502569%2C44.825284%2F10.79
Семей,Казахстан,https://yandex.ru/maps/org/steelborg/202839073510/reviews/,https://2gis.kz/semej/search/%D0%A1%D0%B5%D0%BC%D0%B5%D0%B9%20Steelborg/firm/70000001109648162/80.245877%2C50.404879?m=80.245895%2C50.404864%2F17.79
