,,,,,план 10,план 11,план 12,план 01,план 02,план 04,Октябрь 2021,,,Ноябрь 2021,,,Декабрь 2021,,,Январь 2022,,,Март 2022,,,Май 2022,,,,Июль 2022,,,Август 2022,,,,,Сентябрь 2022,,,,,Октябрь 2022,,,,,Ноябрь 2022,,,,,Декабрь 2022,,,,,Январь 2023,,,,,Февраль 2023,,,,,Март 2023,,,,,Апрель 2023,,,,,Май 2023,,,,,Июнь 2023,,,,,Июль 2023,,,,Август 2023,,,,,,Сентябрь 2023,,,,,Октябрь 2023,,,,,Ноябрь 2023,,,,,Декабрь 2023,,,,,Январь 2024,,,,,Февраль 2024,,,,Март 2024,,,,Апрель 2024,,,,Май 2024,,,,Июнь 2024,,,,Июль 2024,,,Август 2024,,,,Сентябрь 2024,,,,Октябрь 2024,,,,Ноябрь 2024,,,,Декабрь 2024,,,,Январь 2025,,,,Февраль 2025,,,,Март 2025,,,,Апрель 2025,,,,Май 2025,,,,Июнь 2025,,,,Июль 2025,,,,Август 2025,,,,Сентябрь 2025,,,,Октябрь 2025,,,,Ноябрь 2025,,,,Декабрь 2025,,,,Январь 2026,,,,Февраль 2026,,,,Март 2026,,,,Апрель 2026,,,,Май 2026,,,,Июнь 2026,,,,Июль 2026,,,,Август 2026,,,
,,,,Бан,4,12,12,,,,Отзывов,Ответов,Балл,Отзывов,Ответов,Балл,Отзывов,Ответов,Балл,Отзывов,Ответов,Балл,Отзывов,Ответов,Балл,План А,Отзывов,Ответов,Балл,Отзывов,Ответов,Балл,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Комментарии за месяц,Итого отзывов,Балл итого,План на месяц,Отзывы за месяц,Итого отзывов,Балл итого,План,Кол-во,Итого,Балл,План,Кол-во,Итого,Балл,План,Кол-во,Итого,Балл,План,Кол-во,Итого,Балл,Кол-во,Итого,Балл,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик,Кол-во,Итого,Балл,Подрядчик
Яндекс (113),,,ВПР УРЛОВ,,2,5,4,4,2,4,,,,,,,,,,,,,,,,4,,,,,,,13,11,,34,,24,21,21,55,,24,17,0,72,,31,21,0,93,,25,17,29,110,,24,9,11,119,,24,30,26,131,,33,22,23,138,,33,26,0,158,,25,22,20,162,,20,18,15,193,,15,6,13,198,,13,,11,201,,23,27,15,226,,25,23,26,244,,26,25,0,271,,21,21,0,292,,18,17,17,311,,24,26,337,,18,26,363,,7,7,353,"4,70",19,13,366,"4,69",61,43,409,"4,71",37,446,"4,71",27,473,"4,71",,16,489,"4,65",,9,498,"4,60",,5,503,"4,59",,4,507,"4,59",,6,513,"4,58",,3,516,"4,58",,8,524,"4,58",,1,525,"4,59",,12,537,"4,58",,10,547,"4,57",,17,564,"4,56",,5,569,"4,55",,5,574,"2,29",,12,585,"4,25",,5,590,"4,25",,8,598,"4,25",,16,614,"4,48",,31,645,"4,50",,22,667,"4,49",,26,693,"4,50",,11,704,"4,49",,8,712,"4,50",,0,712,"4,50",,0,712,"4,50",
Россия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,291,"4,70",10,8,299,"4,69",35,39,338,"4,69",19,357,"4,69",19,376,"4,70",,12,388,"4,62",,6,394,"4,58",,5,399,"4,57",,2,401,"4,57",,4,405,"4,57",,1,406,"4,57",,4,410,"4,59",,0,410,"4,59",,4,414,"4,57",,9,423,"4,56",,10,433,"4,56",,4,437,"4,55",,3,440,"2,58",,7,446,"4,42",,4,450,"4,42",,7,457,"4,41",,13,470,"4,43",,24,494,"4,44",,16,510,"4,44",,24,534,"4,45",,11,545,"4,44",,8,553,"4,45",,,553,"4,45",,,553,"4,45",
Москва,https://yandex.ru/maps/org/stalmetural/128446144797/reviews/,"улица Люблинская, 151",#REF!,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,5,,,,1,5,2,2,2,3,"4,2",2,2,,5,"4,3",2,1,,6,"4,4",1,0,1,6,"4,4",1,0,,6,"4,4",,1,1,7,"4,4",1,1,1,8,"4,5",,,,8,"4,5",,,,8,"4,5",1,1,1,9,"4,5",,,,9,"4,4",1,1,1,8,"4,4",1,1,1,9,"4,4",,,,9,"4,5",1,1,,10,"4,5",1,1,,11,"4,6",1,1,1,12,"4,6",1,1,13,"4,7",,,13,"4,7",1,1,13,"4,7",,1,14,"4,7",,2,16,"4,7",1,17,"4,7",1,18,"4,8",Инна,,18,"4,8",Инна,,18,"4,8",-,,18,"4,8",-,,18,"4,8",-,,18,"4,8",-,,18,"4,8",,,18,"4,8",Инна,,18,"4,8",-,1,19,"4,7",Инна,,19,"4,8",-,,19,"4,8",-,,19,"4,8",Инна,,19,"4,8",,,19,"4,8",Иван,,19,"4,8",-,,19,"4,8",,,19,"4,8",,,19,"4,8",Инна,,19,"4,8",,,19,"4,8",,,19,"4,8",,,19,"4,8",,,19,"4,8",,,19,"4,8",
Санкт-Петербург,https://yandex.ru/maps/org/stalmetural/229648692343/reviews/,"улица Воронежская, 96",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,,0,1,1,нет,,,,1,нет,1,1,1,2,нет,,,,2,нет,,,,2,нет,2,2,2,4,"4,3",2,2,1,6,"4,4",1,1,2,7,"4,3",1,1,1,8,"4,4",,,,8,"4,5",,,,8,"4,5",1,1,,9,"4,5",1,1,,10,"4,5",1,1,1,11,"4,6",1,1,12,"4,6",,,12,"4,7",1,1,12,"4,7",,1,13,"4,7",,1,14,"4,7",,14,"4,7",1,15,"4,7",Инна,,15,"4,7",-,,15,"4,7",-,,15,"4,7",-,,15,"4,7",-,,15,"4,7",-,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",Инна,,15,"4,7",-,1,16,"4,8",Инна,,16,"4,8",-,,16,"4,8",-,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",,,16,"4,8",
Новосибирск,https://yandex.ru/maps/org/stalmetural/79868830395/reviews/,"улица ​Максима Горького, 79",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,,,,2,нет,1,1,1,3,"4,2",2,1,1,4,"4,3",2,2,,6,"4,4",1,1,1,7,"4,4",1,1,,8,"4,4",1,1,1,9,"4,4",,,1,8,"4,5",,,,8,"4,5",,,,8,"4,5",1,1,,9,"4,5",1,0,,9,"4,5",1,1,1,10,"4,5",2,2,12,"4,5",1,2,14,"4,6",1,1,11,"4,7",,1,12,"4,7",,1,13,"4,7",,13,"4,7",1,14,"4,8",Инна,,14,"4,8",-,,14,"4,8",-,,14,"4,8",-,,14,"4,8",-,,14,"4,8",-,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,,14,"4,8",,1,15,"4,8",Иван,,15,"4,8",-,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",,,15,"4,8",
Екатеринбург,https://yandex.ru/maps/org/stalmetural/1143534003/reviews/,"улица Данилы Зверева, 31литS",#REF!,,2,4,2,2,1,2,1,0,1,4,4,"4,3",8,8,"4,4",9,9,"4,4",9,7,"4,4",1,11,11,"4,5",13,7,"4,6",2,1,1,14,"4,7",2,2,2,16,"4,7",,0,,16,"4,7",1,0,,16,"4,7",1,0,0,16,"4,7",,,,16,"4,7",,,1,10,"4,8",,,,4,"4,8",,,,10,"4,5",,,,4,"4,5",1,1,,10,"4,5",,,1,11,"4,5",,,,11,"4,5",,,,11,"4,5",,,,11,"4,5",1,1,,11,"4,5",1,0,,11,"4,6",1,1,1,12,"4,6",1,1,13,"4,6",1,2,15,"4,6",1,1,14,"4,8",,1,15,"4,7",,1,16,"4,8",,16,"4,8",1,17,"4,8",Инна,,17,"4,8",-,,17,"4,8",-,,17,"4,8",-,,17,"4,8",-,,17,"4,8",-,,17,"4,8",,,17,"4,8",,,17,"4,8",,,17,"4,8",,,17,"4,8",,1,18,"4,8",Инна,,18,"4,8",-,,18,"4,6",,,18,"4,6",Иван,1,19,"4,6",Иван,,19,"4,6",,2,21,"4,6",Иван,1,22,"4,6",Иван,1,23,"4,6",Инна,,23,"4,6",,,23,"4,6",Инна,,23,"4,6",Инна,,23,"4,6",,,23,"4,6",
Казань,https://yandex.ru/maps/org/stalmetural/104913644514/reviews/,"улица ​Пушкина, 52",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,1,1,2,3,"4,2",2,2,3,5,"4,3",2,1,1,6,"4,3",2,1,,7,"4,4",1,1,1,8,"4,5",1,1,1,9,"4,5",,,,9,"4,6",,,,11,"4,6",,,,11,"4,6",,,,11,"4,6",1,1,,12,"4,5",,,,12,"4,7",,,,12,"4,7",,,12,"4,7",,,12,"4,7",,0,8,"4,7",2,0,8,"4,5",,3,11,"4,7",,11,"4,7",1,12,"4,7",Инна,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",-,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",Инна,,12,"4,7",-,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,,12,"4,7",,1,13,"4,7",Инна,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",
Красноярск,https://yandex.ru/maps/org/stalmetural/15441991925/reviews/,"улица ​Карла Маркса, 95к1",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,1,2,нет,,,,2,нет,1,1,1,3,"4,2",2,1,1,4,"4,3",2,2,,6,"4,4",1,1,1,7,"4,4",1,0,,7,"4,4",1,0,,7,"4,3",1,0,,5,"4,3",2,1,1,6,"4,3",2,2,3,8,"4,3",2,2,,10,"4,4",1,2,,12,"4,6",,,,12,"4,7",,,12,"4,7",,,12,"4,7",,,13,"4,7",,,13,"4,7",,,13,"4,7",,13,"4,7",1,14,"4,7",Инна,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",-,,14,"4,7",,,14,"4,7",,,14,"4,7",,,14,"4,7",,1,15,"4,7",Иван,,15,"4,7",-,,15,"4,7",Инна,,15,"4,6",,,15,"4,6",-,,15,"4,6",,,15,"4,6",,1,16,"4,7",Инна,,16,"4,7",,1,17,"4,6",Инна,,17,"4,7",,,17,"4,7",,,17,"4,7",,,17,"4,7",,,17,"4,7",
Нижний Новгород,https://yandex.ru/maps/org/stalmetural/228494005767/reviews/,"улица ​Рождественская, 13",#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,0,0,1,1,,1,0,1,1,2,2,нет,,,,2,нет,1,1,1,3,"4,2",2,2,1,5,"4,3",2,3,,8,"4,4",1,1,1,9,"4,4",1,2,1,11,"4,4",1,0,2,11,"4,4",,,1,11,"4,5",1,1,1,12,"4,5",,,,12,"4,5",1,1,,13,"4,5",1,1,,14,"4,5",1,1,1,15,"4,6",,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",,,15,"4,7",,15,"4,7",1,16,"4,7",Инна,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",-,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,,16,"4,7",,1,17,"4,7",Иван,,17,"4,7",-,,17,"4,6",,1,18,"4,6",Иван,,18,"4,6",,1,19,"4,6",Иван,,19,"4,6",,1,20,"4,6",Иван,1,21,"4,6",Инна,,21,"4,6",,1,22,"4,7",Инна,,22,"4,7",Инна,,22,"4,7",Инна,,22,"4,7",
