domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
shopmet.ru,Москва,,,79090140017,9090140017,msk@shopmet.ru,"ул. Ленина, д.24",Россия,79090140017,79090140017,,,
voronezh.shopmet.ru,Воронеж,,,79090140017,9090140017,voronezh@shopmet.ru,,Россия,79090140017,79090140017,,,
ekb.shopmet.ru,Екатеринбург,,,79090140017,9090140017,ekb@shopmet.ru,,Россия,79090140017,79090140017,,,
irkutsk.shopmet.ru,Иркутск,,,79090140017,9090140017,irkutsk@shopmet.ru,,Россия,79090140017,79090140017,,,
kazan.shopmet.ru,Казань,,,79090140017,9090140017,kazan@shopmet.ru,,Россия,79090140017,79090140017,,,
kaliningrad.shopmet.ru,Калининград,,,79090140017,9090140017,kaliningrad@shopmet.ru,,Россия,79090140017,79090140017,,,
krasnodar.shopmet.ru,Краснодар,,,79090140017,9090140017,krasnodar@shopmet.ru,,Россия,79090140017,79090140017,,,
krasnoyarsk.shopmet.ru,Красноярск,,,79090140017,9090140017,krasnoyarsk@shopmet.ru,,Россия,79090140017,79090140017,,,
nn.shopmet.ru,Нижний Новгород,,,79090140017,9090140017,nizhny-novgorod@shopmet.ru,,Россия,79090140017,79090140017,,,
nsk.shopmet.ru,Новосибирск,,,79090140017,9090140017,nsk@shopmet.ru,,Россия,79090140017,79090140017,,,
omsk.shopmet.ru,Омск,,,79090140017,9090140017,omsk@shopmet.ru,,Россия,79090140017,79090140017,,,
perm.shopmet.ru,Пермь,,,79090140017,9090140017,perm@shopmet.ru,,Россия,79090140017,79090140017,,,
rostov.shopmet.ru,Ростов-на-Дону,,,79090140017,9090140017,rostov@shopmet.ru,,Россия,79090140017,79090140017,,,
samara.shopmet.ru,Самара,,,79090140017,9090140017,samara@shopmet.ru,,Россия,79090140017,79090140017,,,
spb.shopmet.ru,Санкт-Петербург,,,79090140017,9090140017,spb@shopmet.ru,,Россия,79090140017,79090140017,,,
saratov.shopmet.ru,Саратов,,,79090140017,9090140017,saratov@shopmet.ru,,Россия,79090140017,79090140017,,,
stavropol.shopmet.ru,Ставрополь,,,79090140017,9090140017,stavropol@shopmet.ru,,Россия,79090140017,79090140017,,,
tomsk.shopmet.ru,Томск,,,79090140017,9090140017,Добавить,,Россия,79090140017,79090140017,,,
ufa.shopmet.ru,Уфа,,,79090140017,9090140017,ufa@shopmet.ru,,Россия,79090140017,79090140017,,,
habarovsk.shopmet.ru,Хабаровск,,,79090140017,9090140017,khabarovsk@shopmet.ru,,Россия,79090140017,79090140017,,,
chelyabinsk.shopmet.ru,Челябинск,,,79090140017,9090140017,chelyabinsk@shopmet.ru,,Россия,79090140017,79090140017,,,
