domain,city,phone_seo,phone_ad,phone_common,all_phones,email,address,country,telegram,whatsapp,yandex_map_url,twogis_map_url,google_map_url
ekb.steelborg.ru,Екатеринбург,,343-266-35-26,343-266-35-69,3432663526;3432663569,ekb@steelborg.ru,"ул. Розы Люксембург, д. 22",Россия,903-086-35-69,903-086-35-69,https://yandex.ru/maps/org/steelborg/181961625511/?indoorLevel=1&ll=60.612216%2C56.832674&z=17,https://2gis.ru/ekaterinburg/firm/70000001111210900?m=60.612095%2C56.832863%2F16,
kazan.steelborg.ru,Казань,,,8 (843) 253-07-28,8432530728,kazan@steelborg.ru,"ул. Рахимова, 10В",Россия,,,https://yandex.ru/maps/org/steelborg/41435544052/?ll=49.025889%2C55.839931&z=17,https://go.2gis.com/9ZheX,
krasnodar.steelborg.ru,Краснодар,,861-944-03-29,861-944-06-36,8619440329;8619440636,krasnodar@steelborg.ru,"ул. Шоссе Нефтяников, 28",Россия,,,https://yandex.ru/maps/org/steelborg/59003906107/?ll=60.597465%2C56.838011&z=12,https://go.2gis.com/uKRAV,
steelborg.ru,Москва,,499-130-13-39,495-969-51-08,4991301339;4959695108,msk@steelborg.ru,"ул. Золоторожский Вал, д.11с26",Россия,903-969-51-08,903-969-51-08,https://yandex.ru/profile/13283828585,https://go.2gis.com/29513,
nn.steelborg.ru,Нижний Новгород,,831-414-01-63,831-414-05-18,8314140163;8314140518,nn@steelborg.ru,"ул. Зайцева, 31",Россия,,,https://yandex.ru/maps/org/steelborg/230406208547/?ll=43.795125%2C56.366665&z=17,https://go.2gis.com/Cmsul,
novosibirsk.steelborg.ru,Новосибирск,,383-263-16-09,383-263-07-69,3832631609;3832630769,nsk@steelborg.ru,ул.Советская 64,Россия,,,https://yandex.ru/maps/org/steelborg/132214818899/?ll=82.911447%2C55.048513&z=17,https://go.2gis.com/3drql,
perm.steelborg.ru,Пермь,,,342-259-26-18,3422592618,perm@steelborg.ru,"ул. Ленина, 50",Россия,,,https://yandex.ru/maps/org/steelborg/46262134600/?ll=60.597465%2C56.838011&z=12,https://go.2gis.com/k4l8y,
rostov.steelborg.ru,Ростов-на-Дону,,863-221-06-26,863-221-03-16,8632210626;8632210316,rostov@steelborg.ru,"Троллейбусная ул., 24/2В",Россия,,,https://yandex.ru/maps/org/steelborg/6794681329/?ll=39.761600%2C47.267799&z=17,https://go.2gis.com/GLs8c,
samara.steelborg.ru,Самара,,,846-221-08-90,8462210890,samara@steelborg.ru,"проспект Карла Маркса, 190",Россия,,,https://yandex.ru/maps/org/steelborg/15692308688/?indoorLevel=1&ll=50.183386%2C53.213251&z=17,https://go.2gis.com/EOeqz,
spb.steelborg.ru,Санкт-Петербург,,812-982-13-29,812-982-03-68,8129821329;8129820368,spb@steelborg.ru,"18-я линия Васильевского острова, 29И",Россия,,,https://yandex.ru/maps/org/steelborg/28264547167/?ll=60.597465%2C56.838011&z=12,https://go.2gis.com/viFyR,
tyumen.steelborg.ru,Тюмень,,,3452-53-16-69,3452531669,tyumen@steelborg.ru,"ул. 50 лет ВЛКСМ, 51",Россия,,,https://yandex.ru/maps/org/steelborg/79751864113/?indoorLevel=1&ll=65.557972%2C57.134809&z=17,https://go.2gis.com/b6tHc,
ufa.steelborg.ru,Уфа,,,347-298-01-96,3472980196,ufa@steelborg.ru,"ул. Степана Кувыкина, 102",Россия,,,https://yandex.ru/maps/org/steelborg/35430740806/?indoorLevel=1&ll=56.006042%2C54.713470&z=17,https://go.2gis.com/h6rbO,
chelyabinsk.steelborg.ru,Челябинск,,351-216-30-96,351-216-08-17,3512163096;3512160817,chelyabinsk@steelborg.ru,"ул. 2-я Павелецкая, 18",Россия,,,https://yandex.ru/maps/org/steelborg/88935268593/?ll=61.412364%2C55.265091&z=17,https://go.2gis.com/avkva,
almaty.steelborg.kz,Алматы,,708-211-46-91,727-367-27-00,7082114691;7273672700,almaty@steelborg.kz,"просп. Сакена Сейфуллина, 458/1",Казахстан,8-708-211-46-91,8-708-211-46-91,https://yandex.ru/maps/org/steelborg/222633782677/?indoorLevel=1&ll=76.933374%2C43.258138&z=17,,https://g.co/kgs/tvtRw3j
