страна,город,url,почта
Россия,Москва,https://aviastal.ru,moscow@aviastal.ru
Россия,Санкт-Петербург,https://spb.aviastal.ru,spb@aviastal.ru
Россия,Новосибирск,https://nsk.aviastal.ru,nsk@aviastal.ru
Россия,Екатеринбург,https://ekb.aviastal.ru,ekb@aviastal.ru
Россия,Казань,https://kazan.aviastal.ru,kazan@aviastal.ru
Россия,Нижний Новгород,https://nn.aviastal.ru,nn@aviastal.ru
Россия,Красноярск,https://krasnoyarsk.aviastal.ru,krasnoyarsk@aviastal.ru
Россия,Челябинск,https://chelyabinsk.aviastal.ru,chelyabinsk@aviastal.ru
Россия,Уфа,https://ufa.aviastal.ru,ufa@aviastal.ru
Россия,Самара,https://samara.aviastal.ru,samara@aviastal.ru
Россия,Ростов-на-Дону,https://rostov.aviastal.ru,rostov@aviastal.ru
Россия,Краснодар,https://krasnodar.aviastal.ru,krasnodar@aviastal.ru
Россия,Омск,https://omsk.aviastal.ru,omsk@aviastal.ru
Россия,Воронеж,https://voronezh.aviastal.ru,voronezh@aviastal.ru
Россия,Пермь,https://perm.aviastal.ru,perm@aviastal.ru
Россия,Волгоград,https://volgograd.aviastal.ru,volgograd@aviastal.ru
Россия,Саратов,https://saratov.aviastal.ru,saratov@aviastal.ru
Россия,Тюмень,https://tyumen.aviastal.ru,tyumen@aviastal.ru
Россия,Тольятти,https://tolyatti.aviastal.ru,tolyatti@aviastal.ru
Россия,Барнаул,https://barnaul.aviastal.ru,barnaul@aviastal.ru
Россия,Ижевск,https://izhevsk.aviastal.ru,izhevsk@aviastal.ru
Россия,Хабаровск,https://khabarovsk.aviastal.ru,khabarovsk@aviastal.ru
Россия,Ульяновск,https://ulyanovsk.aviastal.ru,ulyanovsk@aviastal.ru
Россия,Иркутск,https://irkutsk.aviastal.ru,irkutsk@aviastal.ru
Россия,Владивосток,https://vladivostok.aviastal.ru,vladivostok@aviastal.ru
Россия,Ярославль,https://yaroslavl.aviastal.ru,yaroslavl@aviastal.ru
Россия,Севастополь,https://sevastopol.aviastal.ru,sevastopol@aviastal.ru
Россия,Ставрополь,https://stavropol.aviastal.ru,stavropol@aviastal.ru
Россия,Томск,https://tomsk.aviastal.ru,tomsk@aviastal.ru
Россия,Кемерово,https://kemerovo.aviastal.ru,kemerovo@aviastal.ru
Россия,Набережные Челны,https://naberezhnye-chelny.aviastal.ru,naberezhnye-chelny@aviastal.ru
Россия,Оренбург,https://orenburg.aviastal.ru,orenburg@aviastal.ru
Россия,Новокузнецк,https://novokuznetsk.aviastal.ru,novokuznetsk@aviastal.ru
Россия,Рязань,https://ryazan.aviastal.ru,ryazan@aviastal.ru
Россия,Чебоксары,https://cheboksary.aviastal.ru,cheboksary@aviastal.ru
Россия,Калининград,https://kaliningrad.aviastal.ru,kaliningrad@aviastal.ru
Россия,Пенза,https://penza.aviastal.ru,penza@aviastal.ru
Россия,Липецк,https://lipeck.aviastal.ru,lipeck@aviastal.ru
Россия,Киров,https://kirov.aviastal.ru,kirov@aviastal.ru
Россия,Астрахань,https://astrahan.aviastal.ru,astrahan@aviastal.ru
Россия,Тула,https://tula.aviastal.ru,tula@aviastal.ru
Россия,Сочи,https://sochi.aviastal.ru,sochi@aviastal.ru
Россия,Курск,https://kursk.aviastal.ru,kursk@aviastal.ru
Россия,Сургут,https://surgut.aviastal.ru,surgut@aviastal.ru
Россия,Тверь,https://tver.aviastal.ru,tver@aviastal.ru
Россия,Магнитогорск,https://magnitogorsk.aviastal.ru,magnitogorsk@aviastal.ru
Россия,Брянск,https://bryansk.aviastal.ru,bryansk@aviastal.ru
Россия,Якутск,https://yakutsk.aviastal.ru,yakutsk@aviastal.ru
Россия,Иваново,https://ivanovo.aviastal.ru,ivanovo@aviastal.ru
Россия,Владимир,https://vladimir.aviastal.ru,vladimir@aviastal.ru
Россия,Чита,https://chita.aviastal.ru,chita@aviastal.ru
Россия,Калуга,https://kaluga.aviastal.ru,kaluga@aviastal.ru
Россия,Белгород,https://belgorod.aviastal.ru,belgorod@aviastal.ru
Россия,Вологда,https://vologda.aviastal.ru,vologda@aviastal.ru
Россия,Смоленск,https://smolensk.aviastal.ru,smolensk@aviastal.ru
Россия,Курган,https://kurgan.aviastal.ru,kurgan@aviastal.ru
Россия,Архангельск,https://arhangelsk.aviastal.ru,arhangelsk@aviastal.ru
Россия,Орёл,https://orel.aviastal.ru,orel@aviastal.ru
Россия,Нижневартовск,https://nizhnevartovsk.aviastal.ru,nizhnevartovsk@aviastal.ru
Россия,Мурманск,https://murmansk.aviastal.ru,murmansk@aviastal.ru
Россия,Кострома,https://kostroma.aviastal.ru,kostroma@aviastal.ru
Россия,Новороссийск,https://novorossijsk.aviastal.ru,novorossijsk@aviastal.ru
Россия,Тамбов,https://tambov.aviastal.ru,tambov@aviastal.ru
Россия,Таганрог,https://taganrog.aviastal.ru,taganrog@aviastal.ru
Россия,Благовещенск,https://blagoveshchensk.aviastal.ru,blagoveshchensk@aviastal.ru
Россия,Великий Новгород,https://velikiy-novgorod.aviastal.ru,velikiy-novgorod@aviastal.ru
Россия,Сыктывкар,https://syktyvkar.aviastal.ru,syktyvkar@aviastal.ru
Россия,Абакан,https://abakan.aviastal.ru,abakan@aviastal.ru
Россия,Южно-Сахалинск,https://yuzhno-sahalinsk.aviastal.ru,yuzhno-sahalinsk@aviastal.ru
Россия,Пятигорск,https://pyatigorsk.aviastal.ru,pyatigorsk@aviastal.ru
Россия,Новый Уренгой,https://noviy-urengoy.aviastal.ru,noviy-urengoy@aviastal.ru
Россия,Ноябрьск,https://noyabrsk.aviastal.ru,noyabrsk@aviastal.ru
Россия,Альметьевск,https://almetevsk.aviastal.ru,almetevsk@aviastal.ru
Россия,Ангарск,https://angarsk.aviastal.ru,angarsk@aviastal.ru
Россия,Арзамас,https://arzamas.aviastal.ru,arzamas@aviastal.ru
Россия,Армавир,https://armavir.aviastal.ru,armavir@aviastal.ru
Россия,Артём,https://artem.aviastal.ru,artem@aviastal.ru
Россия,Балаково,https://balakovo.aviastal.ru,balakovo@aviastal.ru
Россия,Балашиха,https://balashiha.aviastal.ru,balashiha@aviastal.ru
Россия,Батайск,https://bataysk.aviastal.ru,bataysk@aviastal.ru
Россия,Бердск,https://berdsk.aviastal.ru,berdsk@aviastal.ru
Россия,Березники,https://berezniki.aviastal.ru,berezniki@aviastal.ru
Россия,Бийск,https://bijsk.aviastal.ru,bijsk@aviastal.ru
Россия,Братск,https://bratsk.aviastal.ru,bratsk@aviastal.ru
Россия,Видное,https://vidnoe.aviastal.ru,vidnoe@aviastal.ru
Россия,Владикавказ,https://vladikavkaz.aviastal.ru,vladikavkaz@aviastal.ru
Россия,Волгодонск,https://volgodonsk.aviastal.ru,volgodonsk@aviastal.ru
Россия,Волжский,https://volzhskij.aviastal.ru,volzhskij@aviastal.ru
Россия,Грозный,https://groznyj.aviastal.ru,groznyj@aviastal.ru
Россия,Дербент,https://derbent.aviastal.ru,derbent@aviastal.ru
Россия,Дзержинск,https://dzerzhinsk.aviastal.ru,dzerzhinsk@aviastal.ru
Россия,Димитровград,https://dimitrovgrad.aviastal.ru,dimitrovgrad@aviastal.ru
Россия,Долгопрудный,https://dolgoprudnyj.aviastal.ru,dolgoprudnyj@aviastal.ru
Россия,Домодедово,https://domodedovo.aviastal.ru,domodedovo@aviastal.ru
Россия,Евпатория,https://evpatoriya.aviastal.ru,evpatoriya@aviastal.ru
Россия,Ессентуки,https://essentuki.aviastal.ru,essentuki@aviastal.ru
Россия,Жуковский,https://zhukovskij.aviastal.ru,zhukovskij@aviastal.ru
Россия,Златоуст,https://zlatoust.aviastal.ru,zlatoust@aviastal.ru
Россия,Йошкар-Ола,https://yoshkar-ola.aviastal.ru,yoshkar-ola@aviastal.ru
Россия,Каменск-Уральский,https://kamensk-uralskiy.aviastal.ru,kamensk-uralskiy@aviastal.ru
Россия,Камышин,https://kamyshin.aviastal.ru,kamyshin@aviastal.ru
Россия,Каспийск,https://kaspiysk.aviastal.ru,kaspiysk@aviastal.ru
Россия,Керчь,https://kerch.aviastal.ru,kerch@aviastal.ru
Россия,Кисловодск,https://kislovodsk.aviastal.ru,kislovodsk@aviastal.ru
Россия,Ковров,https://kovrov.aviastal.ru,kovrov@aviastal.ru
Россия,Коломна,https://kolomna.aviastal.ru,kolomna@aviastal.ru
Россия,Комсомольск-на-Амуре,https://komsomolsk-na-amure.aviastal.ru,komsomolsk-na-amure@aviastal.ru
Россия,Копейск,https://kopeysk.aviastal.ru,kopeysk@aviastal.ru
Россия,Королёв,https://korolev.aviastal.ru,korolev@aviastal.ru
Россия,Красногорск,https://krasnogorsk.aviastal.ru,krasnogorsk@aviastal.ru
Россия,Кызыл,https://kyzyl.aviastal.ru,kyzyl@aviastal.ru
Россия,Люберцы,https://lyubercy.aviastal.ru,lyubercy@aviastal.ru
Россия,Майкоп,https://maykop.aviastal.ru,maykop@aviastal.ru
Россия,Махачкала,https://mahachkala.aviastal.ru,mahachkala@aviastal.ru
Россия,Миасс,https://miass.aviastal.ru,miass@aviastal.ru
Россия,Михайловск,https://mihaylovsk.aviastal.ru,mihaylovsk@aviastal.ru
Россия,Мурино,https://murino.aviastal.ru,murino@aviastal.ru
Россия,Муром,https://murom.aviastal.ru,murom@aviastal.ru
Россия,Мытищи,https://mytishchi.aviastal.ru,mytishchi@aviastal.ru
Россия,Назрань,https://nazran.aviastal.ru,nazran@aviastal.ru
Россия,Нальчик,https://nalchik.aviastal.ru,nalchik@aviastal.ru
Россия,Находка,https://nahodka.aviastal.ru,nahodka@aviastal.ru
Россия,Невинномысск,https://nevinnomyssk.aviastal.ru,nevinnomyssk@aviastal.ru
Россия,Нефтекамск,https://neftekamsk.aviastal.ru,neftekamsk@aviastal.ru
Россия,Нефтеюганск,https://nefteyugansk.aviastal.ru,nefteyugansk@aviastal.ru
Россия,Нижнекамск,https://nizhnekamsk.aviastal.ru,nizhnekamsk@aviastal.ru
Россия,Нижний Тагил,https://nizhnij-tagil.aviastal.ru,nizhnij-tagil@aviastal.ru
Россия,Новомосковск,https://novomoskovsk.aviastal.ru,novomoskovsk@aviastal.ru
Россия,Новочебоксарск,https://novocheboksarsk.aviastal.ru,novocheboksarsk@aviastal.ru
Россия,Новочеркасск,https://novocherkassk.aviastal.ru,novocherkassk@aviastal.ru
Россия,Новошахтинск,https://novoshahtinsk.aviastal.ru,novoshahtinsk@aviastal.ru
Россия,Ногинск,https://noginsk.aviastal.ru,noginsk@aviastal.ru
Россия,Норильск,https://norilsk.aviastal.ru,norilsk@aviastal.ru
Россия,Обнинск,https://obninsk.aviastal.ru,obninsk@aviastal.ru
Россия,Одинцово,https://odincovo.aviastal.ru,odincovo@aviastal.ru
Россия,Октябрьский,https://oktyabryskiy.aviastal.ru,oktyabryskiy@aviastal.ru
Россия,Орехово-Зуево,https://orekhovo-zuevo.aviastal.ru,orekhovo-zuevo@aviastal.ru
Россия,Орск,https://orsk.aviastal.ru,orsk@aviastal.ru
Россия,Первоуральск,https://pervouralsk.aviastal.ru,pervouralsk@aviastal.ru
Россия,Петрозаводск,https://petrozavodsk.aviastal.ru,petrozavodsk@aviastal.ru
Россия,Петропавловск-Камчатский,https://petropavlovsk-kamchatskij.aviastal.ru,petropavlovsk-kamchatskij@aviastal.ru
Россия,Подольск,https://podolsk.aviastal.ru,podolsk@aviastal.ru
Россия,Прокопьевск,https://prokopevsk.aviastal.ru,prokopevsk@aviastal.ru
Россия,Псков,https://pskov.aviastal.ru,pskov@aviastal.ru
Россия,Пушкино,https://pushkino.aviastal.ru,pushkino@aviastal.ru
Россия,Раменское,https://ramenskoe.aviastal.ru,ramenskoe@aviastal.ru
Россия,Реутов,https://reutov.aviastal.ru,reutov@aviastal.ru
Россия,Рубцовск,https://rubcovsk.aviastal.ru,rubcovsk@aviastal.ru
Россия,Рыбинск,https://rybinsk.aviastal.ru,rybinsk@aviastal.ru
Россия,Салават,https://salavat.aviastal.ru,salavat@aviastal.ru
Россия,Саранск,https://saransk.aviastal.ru,saransk@aviastal.ru
Россия,Северодвинск,https://severodvinsk.aviastal.ru,severodvinsk@aviastal.ru
Россия,Северск,https://seversk.aviastal.ru,seversk@aviastal.ru
Россия,Серпухов,https://serpuhov.aviastal.ru,serpuhov@aviastal.ru
Россия,Симферополь,https://simferopol.aviastal.ru,simferopol@aviastal.ru
Россия,Старый Оскол,https://staryj-oskol.aviastal.ru,staryj-oskol@aviastal.ru
Россия,Стерлитамак,https://sterlitamak.aviastal.ru,sterlitamak@aviastal.ru
Россия,Сызрань,https://syzran.aviastal.ru,syzran@aviastal.ru
Россия,Улан-Удэ,https://ulan-ude.aviastal.ru,ulan-ude@aviastal.ru
Россия,Уссурийск,https://ussuriysk.aviastal.ru,ussuriysk@aviastal.ru
Россия,Ханты-Мансийск,https://hanty-mansijsk.aviastal.ru,hanty-mansijsk@aviastal.ru
Россия,Хасавюрт,https://khasavyurt.aviastal.ru,khasavyurt@aviastal.ru
Россия,Химки,https://himki.aviastal.ru,himki@aviastal.ru
Россия,Череповец,https://cherepovets.aviastal.ru,cherepovets@aviastal.ru
Россия,Черкесск,https://cherkessk.aviastal.ru,cherkessk@aviastal.ru
Россия,Шахты,https://shahty.aviastal.ru,shahty@aviastal.ru
Россия,Щёлково,https://shchelkovo.aviastal.ru,shchelkovo@aviastal.ru
Россия,Электросталь,https://elektrostal.aviastal.ru,elektrostal@aviastal.ru
Россия,Элиста,https://elista.aviastal.ru,elista@aviastal.ru
Россия,Энгельс,https://engels.aviastal.ru,engels@aviastal.ru
Казахстан,Астана/Нур-Султан,https://aviastal.kz,nur-sultan@aviastal.kz
Казахстан,Актау,https://aktau.aviastal.kz,aktau@aviastal.kz
Казахстан,Актобе,https://akto.aviastal.kz,aktobe@aviastal.kz
Казахстан,Алматы,https://almaty.aviastal.kz,almaty@aviastal.kz
Казахстан,Атырау,https://atyrau.aviastal.kz,atyrau@aviastal.kz
Казахстан,Караганда,https://krg.aviastal.kz,karaganda@aviastal.kz
Казахстан,Костанай,https://kostanay.aviastal.kz,kostanay@aviastal.kz
Казахстан,Кызылорда,https://kyzylorda.aviastal.kz,kyzylorda@aviastal.kz
