страна,город,url,почта
Россия,Москва,https://inmetprom.ru,msk@inmetprom.ru
Россия,Санкт-Петербург,https://spb.inmetprom.ru,spb@inmetprom.ru
Россия,Новосибирск,https://novosibirsk.inmetprom.ru,nsk@inmetprom.ru
Россия,Екатеринбург,https://ekaterinburg.inmetprom.ru,ekb@inmetprom.ru
Россия,Казань,https://kazan.inmetprom.ru,kazan@inmetprom.ru
Россия,Красноярск,https://krasnoyarsk.inmetprom.ru,krasnoyarsk@inmetprom.ru
Россия,Нижний Новгород,https://nizhny-novgorod.inmetprom.ru,nizhny-novgorod@inmetprom.ru
Россия,Челябинск,https://chelyabinsk.inmetprom.ru,chelyabinsk@inmetprom.ru
Россия,Уфа,https://ufa.inmetprom.ru,ufa@inmetprom.ru
Россия,Самара,https://samara.inmetprom.ru,samara@inmetprom.ru
Россия,Ростов-на-Дону,https://rostov-na-donu.inmetprom.ru,rostov@inmetprom.ru
Россия,Краснодар,https://krasnodar.inmetprom.ru,krasnodar@inmetprom.ru
Россия,Омск,https://omsk.inmetprom.ru,omsk@inmetprom.ru
Россия,Воронеж,https://voronezh.inmetprom.ru,voronezh@inmetprom.ru
Россия,Пермь,https://perm.inmetprom.ru,perm@inmetprom.ru
Россия,Волгоград,https://volgograd.inmetprom.ru,volgograd@inmetprom.ru
Россия,Донецк,https://donetsk.inmetprom.ru,doneck@inmetprom.ru
Россия,Саратов,https://saratov.inmetprom.ru,saratov@inmetprom.ru
Россия,Тюмень,https://tyumen.inmetprom.ru,tyumen@inmetprom.ru
Россия,Тольятти,https://tolyatti.inmetprom.ru,tolyatti@inmetprom.ru
Россия,Махачкала,https://mahachkala.inmetprom.ru,mahachkala@inmetprom.ru
Россия,Барнаул,https://barnaul.inmetprom.ru,barnaul@inmetprom.ru
Россия,Ижевск,https://izhevsk.inmetprom.ru,izhevsk@inmetprom.ru
Россия,Хабаровск,https://habarovsk.inmetprom.ru,khabarovsk@inmetprom.ru
Россия,Ульяновск,https://ulyanovsk.inmetprom.ru,ulianovsk@inmetprom.ru
Россия,Иркутск,https://irkutsk.inmetprom.ru,irkutsk@inmetprom.ru
Россия,Владивосток,https://vladivostok.inmetprom.ru,vladivostok@inmetprom.ru
Россия,Ярославль,https://yaroslavl.inmetprom.ru,yaroslavl@inmetprom.ru
Россия,Севастополь,https://sevastopol.inmetprom.ru,krym@inmetprom.ru
Россия,Ставрополь,https://stavropol.inmetprom.ru,stavropol@inmetprom.ru
Россия,Кемерово,https://kemerovo.inmetprom.ru,kemerovo@inmetprom.ru
Россия,Томск,https://tomsk.inmetprom.ru,tomsk@inmetprom.ru
Россия,Набережные челны,https://naberezhnye-chelny.inmetprom.ru,naberezhnye-chelny@inmetprom.ru
Россия,Оренбург,https://orenburg.inmetprom.ru,orenburg@inmetprom.ru
Россия,Новокузнецк,https://novokuznetsk.inmetprom.ru,novokuzneck@inmetprom.ru
Россия,Рязань,https://ryazan.inmetprom.ru,ryazan@inmetprom.ru
Россия,Чебоксары,https://cheboksary.inmetprom.ru,cheboksary@inmetprom.ru
Россия,Калининград,https://kaliningrad.inmetprom.ru,kaliningrad@inmetprom.ru
Россия,Пенза,https://penza.inmetprom.ru,penza@inmetprom.ru
Россия,Липецк,https://lipetsk.inmetprom.ru,lipetsk@inmetprom.ru
