страна,город,url,почта
Россия,Москва,https://shopmet.ru,msk@shopmet.ru
Россия,Воронеж,https://voronezh.shopmet.ru,voronezh@shopmet.ru
Россия,Екатеринбург,https://ekb.shopmet.ru,ekb@shopmet.ru
Россия,Иркутск,https://irkutsk.shopmet.ru,irkutsk@shopmet.ru
Россия,Казань,https://kazan.shopmet.ru,kazan@shopmet.ru
Россия,Калининград,https://kaliningrad.shopmet.ru,kaliningrad@shopmet.ru
Россия,Краснодар,https://krasnodar.shopmet.ru,krasnodar@shopmet.ru
Россия,Красноярск,https://krasnoyarsk.shopmet.ru,krasnoyarsk@shopmet.ru
Россия,Нижний Новгород,https://nn.shopmet.ru,nizhny-novgorod@shopmet.ru
Россия,Новосибирск,https://nsk.shopmet.ru,nsk@shopmet.ru
Россия,Омск,https://omsk.shopmet.ru,omsk@shopmet.ru
Россия,Пермь,https://perm.shopmet.ru,perm@shopmet.ru
Россия,Ростов-на-Дону,https://rostov.shopmet.ru,rostov@shopmet.ru
Россия,Самара,https://samara.shopmet.ru,samara@shopmet.ru
Россия,Санкт-Петербург,https://spb.shopmet.ru,spb@shopmet.ru
Россия,Саратов,https://saratov.shopmet.ru,saratov@shopmet.ru
Россия,Ставрополь,https://stavropol.shopmet.ru,stavropol@shopmet.ru
Россия,Томск,https://tomsk.shopmet.ru,Добавить
Россия,Уфа,https://ufa.shopmet.ru,ufa@shopmet.ru
Россия,Хабаровск,https://habarovsk.shopmet.ru,khabarovsk@shopmet.ru
Россия,Челябинск,https://chelyabinsk.shopmet.ru,chelyabinsk@shopmet.ru
