страна,город,url,почта
Россия,Москва,https://stalmetural.ru,msk@stalmetural.ru
Россия,Санкт-Петербург,https://spb.stalmetural.ru,spb@stalmetural.ru
Россия,Новосибирск,https://novosibirsk.stalmetural.ru,novosibirsk@stalmetural.ru
Россия,Екатеринбург,https://ekaterinburg.stalmetural.ru,ekb@stalmetural.ru
Россия,Казань,https://kazan.stalmetural.ru,kazan@stalmetural.ru
Россия,Нижний Новгород,https://n-novgorod.stalmetural.ru,novgorod@stalmetural.ru
Россия,Красноярск,https://krasnoyarsk.stalmetural.ru,krasnoyarsk@stalmetural.ru
Россия,Челябинск,https://chelyabinsk.stalmetural.ru,chel@stalmetural.ru
Россия,Уфа,https://ufa.stalmetural.ru,ufa@stalmetural.ru
Россия,Самара,https://samara.stalmetural.ru,samara@stalmetural.ru
Россия,Ростов-на-Дону,https://rostov-na-donu.stalmetural.ru,rostov-na-donu@stalmetural.ru
Россия,Краснодар,https://krasnodar.stalmetural.ru,krasnodar@stalmetural.ru
Россия,Омск,https://omsk.stalmetural.ru,omsk@stalmetural.ru
Россия,Воронеж,https://voronezh.stalmetural.ru,voronezh@stalmetural.ru
Россия,Пермь,https://perm.stalmetural.ru,perm@stalmetural.ru
Россия,Волгоград,https://volgograd.stalmetural.ru,volgograd@stalmetural.ru
Россия,Саратов,https://saratov.stalmetural.ru,saratov@stalmetural.ru
Россия,Тюмень,https://tyumen.stalmetural.ru,tymen@stalmetural.ru
Россия,Тольятти,https://tolyatti.stalmetural.ru,tolyatti@stalmetural.ru
Россия,Барнаул,https://barnaul.stalmetural.ru,barnaul@stalmetural.ru
Россия,Ижевск,https://izhevsk.stalmetural.ru,izhevsk@stalmetural.ru
Россия,Хабаровск,https://habarovsk.stalmetural.ru,habarovsk@stalmetural.ru
Россия,Ульяновск,https://ulyanovsk.stalmetural.ru,ulyanovsk@stalmetural.ru
Россия,Иркутск,https://irkutsk.stalmetural.ru,irkutsk@stalmetural.ru
Россия,Владивосток,https://vladivostok.stalmetural.ru,vladivostok@stalmetural.ru
Россия,Ярославль,https://yaroslavl.stalmetural.ru,yaroslavl@stalmetural.ru
Россия,Севастополь,https://sevastopol.stalmetural.ru,krym@stalmetural.ru
Россия,Ставрополь,https://stavropol.stalmetural.ru,stavropol@stalmetural.ru
Россия,Томск,https://tomsk.stalmetural.ru,tomsk@stalmetural.ru
Россия,Кемерово,https://kemerovo.stalmetural.ru,kemerovo@stalmetural.ru
Россия,Набережные Челны,https://naberezhnye-chelny.stalmetural.ru,chelny@stalmetural.ru
Россия,Оренбург,https://orenburg.stalmetural.ru,orenburg@stalmetural.ru
Россия,Новокузнецк,https://novokuznetsk.stalmetural.ru,novokuzneck@stalmetural.ru
Россия,Рязань,https://ryazan.stalmetural.ru,ryazan@stalmetural.ru
Россия,Чебоксары,https://cheboksary.stalmetural.ru,cheboksary@stalmetural.ru
Россия,Калининград,https://kaliningrad.stalmetural.ru,kaliningrad@stalmetural.ru
Россия,Пенза,https://penza.stalmetural.ru,penza@stalmetural.ru
