страна,город,url,почта
Россия,Москва,https://steelborg.ru,msk@steelborg.ru
Азербайджан,Баку,https://steelborg.az,info@steelborg.az
Беларусь,Минск,https://steelborg.by,info@steelborg.by
Казахстан,Актау,https://aktau.steelborg.kz,aktau@steelborg.kz
Казахстан,Актобе,https://aktobe.steelborg.kz,aktobe@steelborg.kz
Казахстан,Алматы,https://almaty.steelborg.kz,almaty@steelborg.kz
Казахстан,Астана,https://steelborg.kz,astana@steelborg.kz
Казахстан,Атырау,https://atyrau.steelborg.kz,atyrau@steelborg.kz
Казахстан,Караганда,https://karaganda.steelborg.kz,karaganda@steelborg.kz
Казахстан,Костанай,https://kostanay.steelborg.kz,kostanay@steelborg.kz
Казахстан,Кызылорда,https://kyzylorda.steelborg.kz,kyzylorda@steelborg.kz
Казахстан,Павлодар,https://pavlodar.steelborg.kz,pavlodar@steelborg.kz
Казахстан,Петропавловск,https://petropavlovsk.steelborg.kz,petropavlovsk@steelborg.kz
Казахстан,Семей,https://semey.steelborg.kz,semey@steelborg.kz
Казахстан,Тараз,https://taraz.steelborg.kz,taraz@steelborg.kz
Казахстан,Уральск,https://uralsk.steelborg.kz,uralsk@steelborg.kz
Казахстан,Усть-Каменогорск,https://ust-kamenogorsk.steelborg.kz,ust-kamenogorsk@steelborg.kz
Казахстан,Шымкент,https://shymkent.steelborg.kz,shymkent@steelborg.kz
Кыргызстан,Бишкек,https://steelborg.kg,info@steelborg.kg
Россия,Екатеринбург,https://ekb.steelborg.ru,ekb@steelborg.ru
Россия,Казань,https://kazan.steelborg.ru,kazan@steelborg.ru
Россия,Краснодар,https://krasnodar.steelborg.ru,krasnodar@steelborg.ru
Россия,Нижний Новгород,https://nn.steelborg.ru,nn@steelborg.ru
Россия,Новосибирск,https://novosibirsk.steelborg.ru,nsk@steelborg.ru
Россия,Пермь,https://perm.steelborg.ru,perm@steelborg.ru
Россия,Ростов-на-Дону,https://rostov.steelborg.ru,rostov@steelborg.ru
Россия,Самара,https://samara.steelborg.ru,samara@steelborg.ru
Россия,Санкт-Петербург,https://spb.steelborg.ru,spb@steelborg.ru
Россия,Тюмень,https://tyumen.steelborg.ru,tyumen@steelborg.ru
Россия,Уфа,https://ufa.steelborg.ru,ufa@steelborg.ru
Россия,Челябинск,https://chelyabinsk.steelborg.ru,chelyabinsk@steelborg.ru
Узбекистан,Ташкент,https://steelborg.uz,info@steelborg.uz
